key_point_id_1,key_point_id_2,evidence_id_1,evidence_id_2,evidence_1,evidence_2,topic,source_1,source_2,argument,stance_1,stance_2,label_1,label_2
kp_7_4,kp_7_4,evi_7_36,evi_7_35,"When Missouri repealed its permit law, gun-related killings increased by 25 percent.","Data even tells us that where gun shops or gun dealers open for business, killings go up.",We should abolish the right to keep and bear arms,https://www.scientificamerican.com/article/the-science-is-clear-gun-control-saves-lives/,https://www.scientificamerican.com/article/the-science-is-clear-gun-control-saves-lives/,Banning guns would save lives,1,1,1.0,1.0
kp_7_0,kp_7_0,evi_7_4,evi_7_2,"According to a Mar. 10, 2016 Lancet study, most state-level gun control laws do not reduce firearm death rates, and, of 25 state laws, nine were associated with higher gun death rates.",A study in Applied Economics Letters found that “assault weapons bans did not significantly affect murder rates at the state level” and “states with restrictions on the carrying of concealed weapons had higher gun-related murders.”,We should abolish the right to keep and bear arms,https://gun-control.procon.org/,https://gun-control.procon.org/,Gun control is ineffective,-1,-1,1.0,1.0
kp_7_7,kp_7_7,evi_7_58,evi_7_57,"'On the absolute scale, this means that a state like California, which has approximately two mass shootings per year, will have an extra mass shooting for every 10 unit increase in permissiveness over five years,' explain the researchers. 'It will also have three to five more mass shootings per five years for every 10 unit increase in gun ownership,' they add.","A 1993 study published in The New England Journal of Medicine found that '[r]ather than confer protection, guns kept in the home are associated with an increase in the risk of homicide by a family member or intimate acquaintance.'",We should abolish the right to keep and bear arms,https://www.bmj.com/company/newsroom/higher-rates-of-mass-shootings-in-us-states-with-more-relaxed-gun-control-laws/,https://gun-control.procon.org/,Gun ownership allows for mass-shootings/general gun violence,1,1,1.0,1.0
kp_7_1,kp_7_1,evi_7_12,evi_7_11,"For today’s gun owners, the right to own guns nearly rivals other rights laid out in the U.S. Constitution in terms of its personal salience. About three-quarters of gun owners (74%) say this right is essential to their own sense of freedom.","The presumptive Republican nominee for president, Sen. John McCain, released a statement applauding the decision. 'Today's ruling makes clear that other municipalities like Chicago that have banned handguns have infringed on the constitutional rights of Americans,' he said.",We should abolish the right to keep and bear arms,https://www.pewresearch.org/social-trends/2017/06/22/guns-and-daily-life-identity-experiences-activities-and-involvement/,https://www.npr.org/templates/story/story.php?storyId=91913260,Gun ownership is a right,-1,-1,1.0,1.0
kp_7_2,kp_7_2,evi_7_15,evi_7_14,"According to data from 2016, approximately 10 million people used firearms for hunting, more than 50 percent of all hunters participated in target shooting, and 22 percent of hunters visited shooting ranges (U.S. Fish and Wildlife Service, 2018).","In 2011, there were 13.7 million hunters 16 years old or older in the United States, and they spent $7.7 billion on guns, sights, ammunition, and other hunting equipment.",We should abolish the right to keep and bear arms,https://www.rand.org/research/gun-policy/analysis/hunting-and-recreation.html,https://gun-control.procon.org/,Gun ownership is necessary for hunting/sports-shooting,-1,-1,1.0,1.0
kp_7_3,kp_7_3,evi_7_24,evi_7_22,"In a Gallup survey conducted in August 2019, gun owners were most likely to cite personal safety or protection as the reason they own a firearm. Roughly six-in-ten (63%) said this in an open-ended question.",Pew Foundation report found that 79% of male gun owners and 80% of female gun owners said owning a gun made them feel safer and 64% of people living in a home in which someone else owns a gun felt safer.,We should abolish the right to keep and bear arms,https://www.pewresearch.org/fact-tank/2021/09/13/key-facts-about-americans-and-guns/,https://gun-control.procon.org/,Gun ownership promotes self protection,-1,-1,1.0,1.0
kp_7_5,kp_7_5,evi_7_44,evi_7_43,"One of the worst recent examples was the massacre in a Sutherland Springs, Texas, church last November, in which 26 people were killed by a man whose domestic violence conviction should have barred him from buying guns.","'Guns do fall into the wrong hands,' Commissioner Ramsey said, adding that many guns used by criminals were originally purchased legally.",We should abolish the right to keep and bear arms,https://www.npr.org/2018/01/26/580143957/what-it-takes-to-get-guns-out-of-the-wrong-hands,https://www.bbc.co.uk/news/av/world-us-canada-21269683,Guns can fall into the wrong hands,1,1,1.0,1.0
kp_7_6,kp_7_6,evi_7_52,evi_7_51,"A 2001 study found that regardless of age, people are nine times more likely to die from unintentional firearm injuries when they live in states with more guns, relative to states with fewer guns.",A study from 2014 showed that victims of unintentional shootings were three times more likely to live in a household with a firearm.,We should abolish the right to keep and bear arms,https://www.aftermath.com/content/accidental-shooting-deaths-statistics/,https://www.aftermath.com/content/accidental-shooting-deaths-statistics/,Guns lead to accidental deaths,1,1,1.0,1.0
kp_8_0,kp_8_0,evi_8_7,evi_8_6,"“For example, the Institute for Fiscal Studies (IFS) estimate that even if the government locks in a moderate overall spending increase over the next five years, because of commitments to protect certain areas of spending, the remaining ‘unprotected’ areas - including most aspects of social security, prisons, local government and adult education - are facing an average annual cut of 0.4 per cent per year.","“Taking care of ‘at risk’ children is a mandatory concern. However, youth centres and outreach services are considered unessential and have been cut to the bone. Yet these are services that help prevent children becoming ‘at risk’ in the first place,” said Gray.",We should adopt an austerity regime,https://www.ippr.org/blog/austerity-there-is-an-alternative-and-the-uk-can-afford-to-deliver-it,https://www.cam.ac.uk/research/news/austerity-cuts-twice-as-deep-in-england-as-rest-of-britain,Austerity cuts access to essential services,-1,-1,1.0,1.0
kp_8_1,kp_8_1,evi_8_12,evi_8_11,"The financial press and many economists have pointed to austerity policies that cut government expenditures and increased tax rates as an explanation for the slow recovery in several European countries (e.g. Blanchard and Leigh 2013, Krugman 2015).","“If he wants to reassure the markets, he will have to announce early action in the form of a big fiscal tightening. That could deepen and/or lengthen the recession and ultimately create an even bigger fiscal hole,” said Ruth Gregory, senior U.K. economist at Capital Economics.",We should adopt an austerity regime,https://cepr.org/voxeu/columns/austerity-aftermath-great-recession,https://www.cnbc.com/2022/11/15/british-government-to-usher-in-new-era-of-austerity-in-effort-to-restore-market-confidence.html,Austerity extend recessions,-1,-1,1.0,1.0
kp_8_5,kp_8_5,evi_8_40,evi_8_39,"Contrary to this, research from Harvard economist Alberto Alesina demonstrated the benefits of ‘expansionary austerity:’ fiscal policy changes in advanced economies between 1970 and 2007 showed that spending cuts were often 'associated with economic expansions rather than recessions'.","The measures implemented in 2010 achieved a remarkable degree of fiscal consolidation, bringing the Greece government deficit from 15.8% in 2009 to 10.7% in 2010.",We should adopt an austerity regime,https://www.canford.com/d/~board/views-from-the-study/post/is-austerity-ever-necessary,https://www.intereconomics.eu/contents/year/2013/number/1/article/austerity-measures-in-crisis-countries-results-and-impact-on-mid-term-development.html,Austerity improves the economic measures,1,1,1.0,1.0
kp_8_6,kp_8_6,evi_8_44,evi_8_42,"On the basis of Arellano (2008) model simulations we find that cutting government consumption may indeed raise the default premium in the short run. This is not because investors are impatient or schizophrenic about austerity. Rather, this is because with output being temporarily reduced due to austerity, financial market participants understand that a government is tempted to default on its debt obligations in order to free scarce resources from debt service for other expenditures.","Some economists argue ‘austerity’ is necessary to reduce budget deficits, and cutting government spending is compatible with improving the long-term economic performance of the economy.",We should adopt an austerity regime,https://www.weforum.org/agenda/2015/02/does-austerity-pay-off-in-the-long-run/,"https://www.economicshelp.org/blog/5366/economics/austerity-pros-and-cons/#:~:text=Some%20economists%20argue%20'austerity'%20is,economic%20performance%20of%20the%20economy.",Austerity is important in the long term,1,1,1.0,1.0
kp_8_7,kp_8_7,evi_8_49,evi_8_48,"Put simply, a growth in external demand (consumers outside Ireland buying more Irish produced goods and services) compensated for a contraction in the internal demand caused by austerity (Irish consumers, households and government spending less). It’s the German model of adjustment: commit to macroeconomic stability, compress domestic demand and expand exports.",A reduction in wages and public expenditure negatively impacts domestic demand. But this negative effect is offset by the positive effect on exports. A strong state commitment to macroeconomic stability and improved cost competitiveness improved the real exchange rate (REER) and facilitated an export-led recovery.,We should adopt an austerity regime,https://blogs.lse.ac.uk/europpblog/2016/02/02/debunking-myths-why-austerity-and-structural-reforms-have-had-little-to-do-with-irelands-economic-recovery/,https://blogs.lse.ac.uk/europpblog/2016/02/02/debunking-myths-why-austerity-and-structural-reforms-have-had-little-to-do-with-irelands-economic-recovery/,Austerity is important to increase stability,1,1,1.0,1.0
kp_8_8,kp_8_8,evi_8_57,evi_8_56,"The chancellor, George Osborne, certainly plans more austerity, hoping to achieve a budget surplus and a rapidly declining debt-to-GDP ratio by the end of the decade (four years later than he originally predicted).",The budget deficit was 11% of GDP in 2009-10. It is now about 5.5% and the Office for Budget Responsibility (OBR) of UK predicts a surplus by the end of the decade.,We should adopt an austerity regime,https://theconversation.com/austerity-was-necessary-in-2010-but-we-dont-need-much-more-37939,https://theconversation.com/austerity-was-necessary-in-2010-but-we-dont-need-much-more-37939,Austerity is necessary to reduce deficits or pay debts,1,1,1.0,1.0
kp_8_2,kp_8_2,evi_8_23,evi_8_22,"IMF-required austerity is significantly associated with rising inequality, by increasing the income share to the top ten percent at the expense of the bottom 80 percent. Unsurprisingly, the impact can also be seen in significantly rising poverty levels in countries facing tighter austerity requirements.","I was 18 [and homeless] and the council said I was not a priority. I was struggling with depression and anxiety and juggling work. I was told that if I stop work and have a baby I would be more likely to get housing – Tayah, west London.",We should adopt an austerity regime,https://www.bu.edu/gdp/2021/04/05/imf-austerity-is-alive-and-impacting-poverty-and-inequality/,https://www.theguardian.com/society/2018/nov/16/uk-austerity-has-inflicted-great-misery-on-citizens-un-says,Austerity is unfair to the citizens,-1,-1,1.0,1.0
kp_8_9,kp_8_9,evi_8_61,evi_8_60,"Perhaps the most successful model of austerity, at least in response to a recession, occurred in the United States between 1920 and 1921. The unemployment rate in the U.S. economy jumped from 4% to almost 12%.  Real gross national product (GNP) declined almost 20%—greater than any single year during the Great Depression or Great Recession. President Warren G. Harding responded by cutting the federal budget by almost 50%. Tax rates were reduced for all income groups, and the debt dropped by more than 30%. In a speech in 1920, Harding declared that his administration 'will attempt intelligent and courageous deflation, and strike at government borrowing...[and] will attack high cost of government with every energy and facility.'","For example, the global economic downturn that began in 2008 left many governments with reduced tax revenues and exposed what some believed were unsustainable spending levels. Several European countries, including the United Kingdom, Greece, and Spain, turned to austerity as a way to alleviate budget concerns.",We should adopt an austerity regime,https://www.investopedia.com/terms/a/austerity.asp,https://www.investopedia.com/terms/a/austerity.asp,Austerity regime is essential in economically troubled times,1,1,1.0,1.0
kp_8_3,kp_8_3,evi_8_28,evi_8_27,"The OECD average slowing from 5 per cent before the crisis to 2.5 per cent after the crisis, with the UK down from 4 to 2 per cent. For many countries – including the UK – price rises mean that the standard of living has fallen over the last decade.","On average, pay growth halved across OECD countries in the nine post-crisis years compared to the nine pre-crisis years.",We should adopt an austerity regime,https://www.tuc.org.uk/blogs/failure-austerity-and-how-fix-it,https://www.tuc.org.uk/blogs/failure-austerity-and-how-fix-it,Austerity results in lower growth,-1,-1,1.0,1.0
kp_8_4,kp_8_4,evi_8_33,evi_8_32,"Alessandro Turrini finds that contrary to expectations, austerity policies may have been responsible for creating more unemployment in countries with stronger employment protection legislation. One potential reason for this is that while countries with more regulated labour markets have not experienced as many redundancies from austerity, they have also had far lower job creation levels.","In 2012, the World of Work Report by the International Labour Organisation (ILO),stated that women have a higher probability of being unemployed or finding themselves in vulnerable employment positions in comparison to men. According to the ILO, they face systemic barriers in nearly all aspects of employment. As a side effect which cannot be underestimated or ignored, the austerity measures further enforce these barriers. These barriers are all in regard to; receiving ample childcare, the level of pay, the access to higher-paying traditionally “male” occupations, job security, pension entitlement, benefits, etc.",We should adopt an austerity regime,,,Austerity results in lower job creation,-1,-1,1.0,1.0
kp_15_0,kp_15_0,evi_15_11,evi_15_10,"In Fisher v. University of Texas at Austin, the APALC submitted a brief supporting the University of Texas in preserving the use of affirmative action in admissions, saying Asian students 'benefited from exposure to a diverse student body.'","A prominent advocate of affirmative action, he played a leading role in the twin Supreme Court cases-Grutter v Bollinger and Gratz v Bollinger-that upheld and clarified the importance of diversity as a compelling justification for affirmative action in higher education.",We should end affirmative action,https://en.wikipedia.org/wiki/Asian_Pacific_American_Legal_Center,https://en.wikipedia.org/wiki/Columbia_University,Affirmative action boosts diversity,-1,-1,1.0,1.0
kp_15_3,kp_15_3,evi_15_45,evi_15_44,"This agenda is celebrated on the backs of Asian-American students. Students for Fair Admissions Inc. is in the process of suing Harvard University, alleging that the university caps the number of admissions for Asian American students. Race-blind admission testing would allow the students, with top test scores in the country, a place at a prestigious university. Instead, they are marked down on “personality trait” testing, in which they coincidentally and consistently score low.",Opponents of affirmative action such as George Sher believe that affirmative action devalues the accomplishments of people who are chosen based on the social group to which they belong rather than their qualifications [REF].,We should end affirmative action,https://dailyiowan.com/2018/07/18/jaimes-affirmative-action-perpetuates-racism/,https://en.wikipedia.org/wiki/Affirmative_action,Affirmative action diminishes the achievements of minorities,1,1,1.0,1.0
kp_15_4,kp_15_4,evi_15_49,evi_15_46,"With privileged African Americans gaining professional upward mobility through affirmative action and equal opportunity sanctions in education and employment, the less-skilled, less-educated African Americans fall behind.",In 2010 Arizona voters passed a constitutional ban on government-sponsored affirmative action known as Proposition 107 [REF].,We should end affirmative action,https://en.wikipedia.org/wiki/Economic_restructuring,https://en.wikipedia.org/wiki/Affirmative_action_in_the_United_States,Affirmative action is ineffective,1,1,1.0,1.0
kp_15_1,kp_15_1,evi_15_29,evi_15_28,"As historian Roger Wilkins has pointed out, Blacks have a 375-year history on this continent: 245 involving slavery, 100 involving legalized discrimination, and only 30 involving anything else (Wilkins, 1995). Jews and Asians, on the other hand, have immigrated to North America—often as doctors, lawyers, professors, entrepreneurs, and so forth. Moreover, European Jews are able to function as part of the White majority. To expect Blacks to show the same upward mobility as Jews and Asians is to deny the historical and social reality that Black people face.","The justification for affirmative action is that it helps to compensate for past discrimination, persecution or exploitation by the ruling class of a culture,[REF] and to address existing discrimination [REF].",We should end affirmative action,https://www.usf.edu/compliance-ethics/equal-opportunity/ten-myths-about-affirmative-action.aspx,https://en.wikipedia.org/wiki/Affirmative_action,Affirmative action is necessary to compensate for the past,-1,-1,1.0,1.0
kp_15_5,kp_15_5,evi_15_45,evi_15_57,"This agenda is celebrated on the backs of Asian-American students. Students for Fair Admissions Inc. is in the process of suing Harvard University, alleging that the university caps the number of admissions for Asian American students. Race-blind admission testing would allow the students, with top test scores in the country, a place at a prestigious university. Instead, they are marked down on “personality trait” testing, in which they coincidentally and consistently score low.","Affirmative action is peak performative activism, as it focuses on making schools look more appealing than actually making sure marginalized communities are getting equal opportunities.",We should end affirmative action,https://dailyiowan.com/2018/07/18/jaimes-affirmative-action-perpetuates-racism/,https://www.statepress.com/article/2021/02/spopinon-affrimative-action-is-not-the-way-to-end-discrimination,Affirmative action is not just,1,1,1.0,1.0
kp_15_6,kp_15_6,evi_15_63,evi_15_62,"Students for Fair Admissions Inc. is in the process of suing Harvard University, alleging that the university caps the number of admissions for Asian American students. Race-blind admission testing would allow the students, with top test scores in the country, a place at a prestigious university. Instead, they are marked down on “personality trait” testing, in which they coincidentally and consistently score low.","Hardin's last book The Ostrich Factor: Our Population Myopia (1999), a warning about the threat of overpopulation to the Earth's sustainable economic future, called for coercive constraints on 'unqualified reproductive rights' and argued that affirmative action is a form of racism.",We should end affirmative action,https://dailyiowan.com/2018/07/18/jaimes-affirmative-action-perpetuates-racism/,https://en.wikipedia.org/wiki/Garrett_Hardin,Affirmative action perpetuates prejudice,1,1,1.0,1.0
kp_15_2,kp_15_2,evi_15_37,evi_15_36,"Wesolowski supported affirmative action programs for Saskatoon Catholic teachers in 2001, arguing that past policies had discriminated against women and aboriginals.","Similarly, Johnson v. Transportation Agency 480 U.S. 616 (1987), upheld a voluntary affirmative action plan to correct a 'manifest imbalance' demonstrated by statistical evidence in the representation of minorities and women in traditionally segregated job categories.",We should end affirmative action,"https://en.wikipedia.org/wiki/Reform_Party_of_Canada_candidates,_1993_Canadian_federal_election",https://en.wikipedia.org/wiki/Male_privilege,Affirmative action reduces discrimination,-1,-1,1.0,1.0
kp_15_7,kp_15_7,evi_15_70,evi_15_69,"For example, according to data released by the University of Texas in connection with Fisher, the mean SAT scores (out of 2400) and mean high-school grade-point averages (on a 4.0 scale) varied widely by race for the entering class of 2009. For Asians, the numbers were 1991 and 3.07; whites were at 1914 and 3.04; Hispanics at 1794 and 2.83; and African-Americans at 1524 and 2.57. The SAT scores for the Asian students placed them in the 93rd percentile of 2009 SAT-takers nationwide; the African-American students, meanwhile, were at the 52nd percentile.","Almost 70% of white students graduate from higher education, compared to about 50% of Black and Latine students. This shows affirmative action isn't completely doing its job. Just because BIPOC students are getting into a university, doesn't necessarily mean they are being equipped with the tools they need to succeed in that university.",We should end affirmative action,https://www.nationalaffairs.com/publications/detail/the-sad-irony-of-affirmative-action,https://www.statepress.com/article/2021/02/spopinon-affrimative-action-is-not-the-way-to-end-discrimination,Affirmative action reduces quality,1,1,1.0,1.0
