key_point_id,evidence_id_1,evidence_id_2,evidence_id_3,evidence_id_4,evidence_id_5,evidence_1,evidence_2,evidence_3,evidence_4,evidence_5,topic,source_1,source_2,source_3,source_4,source_5,argument,stance,label
kp_7_4,evi_7_32,evi_7_33,evi_7_34,evi_7_35,evi_7_36,"In 2015, assaults with a firearm were 6.8 times more common in states that had the most guns, compared to the leas.","More than a dozen studies have revealed that if you had a gun at home, you were twice as likely to be killed as someone who didn’t.",Research from the Harvard School of Public Health tells us that states with higher gun ownership levels have higher rates of homicide.,"Data even tells us that where gun shops or gun dealers open for business, killings go up.","When Missouri repealed its permit law, gun-related killings increased by 25 percent.",We should abolish the right to keep and bear arms,https://www.scientificamerican.com/article/the-science-is-clear-gun-control-saves-lives/,https://www.scientificamerican.com/article/the-science-is-clear-gun-control-saves-lives/,https://www.scientificamerican.com/article/the-science-is-clear-gun-control-saves-lives/,https://www.scientificamerican.com/article/the-science-is-clear-gun-control-saves-lives/,https://www.scientificamerican.com/article/the-science-is-clear-gun-control-saves-lives/,Banning guns would save lives,1,1.0
kp_7_0,evi_7_0,evi_7_1,evi_7_2,evi_7_4,,Criminals overwhelmingly obtain their firearms through illegal channels and will never be deterred by state and federal laws.  A 2016 Obama administration study by the Bureau of Justice Statistics examined how prison inmates obtained the firearms they used during crimes — and the results weren’t surprising. The study found that only about 10.1% obtained their firearms through a retail source.,"In 2018, a study was released that examined the effect of comprehensive background checks on the state. The study examined nearly two decades (1981-2000) of data and found that background checks had no effect on homicide rates in California.",A study in Applied Economics Letters found that “assault weapons bans did not significantly affect murder rates at the state level” and “states with restrictions on the carrying of concealed weapons had higher gun-related murders.”,"According to a Mar. 10, 2016 Lancet study, most state-level gun control laws do not reduce firearm death rates, and, of 25 state laws, nine were associated with higher gun death rates.",,We should abolish the right to keep and bear arms,https://www.nraila.org/why-gun-control-doesn-t-work/,https://www.nraila.org/why-gun-control-doesn-t-work/,https://gun-control.procon.org/,https://gun-control.procon.org/,,Gun control is ineffective,-1,1.0
kp_7_7,evi_7_53,evi_7_55,evi_7_56,evi_7_57,evi_7_58,"Jeffrey Voccola, Assistant Professor of Writing at Kutztown University, notes, 'The average gun owner, no matter how responsible, is not trained in law enforcement or on how to handle life-threatening situations, so in most cases, if a threat occurs, increasing the number of guns only creates a more volatile and dangerous situation.'",A June 1985 study published in the American Journal of Public Health found that “the weapons used [in altercations]… were those closest at hand.”,"An editorial published in the June 1985 American Journal of Public Health noted, “gun-inflicted deaths [often] ensue from impromptu arguments and fights; in the US, two-thirds of the 7,900 deaths in 1981 involving arguments and brawls were caused by guns.”","A 1993 study published in The New England Journal of Medicine found that '[r]ather than confer protection, guns kept in the home are associated with an increase in the risk of homicide by a family member or intimate acquaintance.'","'On the absolute scale, this means that a state like California, which has approximately two mass shootings per year, will have an extra mass shooting for every 10 unit increase in permissiveness over five years,' explain the researchers. 'It will also have three to five more mass shootings per five years for every 10 unit increase in gun ownership,' they add.",We should abolish the right to keep and bear arms,https://gun-control.procon.org/,https://gun-control.procon.org/,https://gun-control.procon.org/,https://gun-control.procon.org/,https://www.bmj.com/company/newsroom/higher-rates-of-mass-shootings-in-us-states-with-more-relaxed-gun-control-laws/,Gun ownership allows for mass-shootings/general gun violence,1,1.0
kp_7_1,evi_7_8,evi_7_9,evi_7_10,evi_7_11,evi_7_12,"In 2010, the Court further strengthened Second Amendment protections in McDonald v. City of Chicago, 567 F.3d 856. The plaintiff in McDonald challenged the constitutionality of the Chicago handgun ban, which prohibited handgun possession by almost all private citizens. In a 5-4 decision, the Court, citing the intentions of the framers and ratifiers of the Fourteenth Amendment, held that the Second Amendment applies to the states through the incorporation doctrine.","In 2022, the Supreme Court further expanded upon the precedent set by Heller in New York State Rifle & Pistol Association v. Bruen. In Bruen, the Court struck down a New York law requiring parties interested in purchasing a handgun for the use of self-defense outside of the home to obtain a license because the law issued licenses on a “may-issue” rather than a “shall issue” basis. This “may issue” licensing method allowed state authorities to deny interested parties public use licenses for firearms if the interested party was unable to show “proper cause” as to why they have a heightened need for self-protection over the general population.","In a 5-4 vote Thursday, the U.S. Supreme Court declared for the first time that the Second Amendment to the Constitution guarantees the right of individual Americans to keep and bear arms. The court said gun ownership is an individual right, not connected with military service, and that it can be regulated in some ways.","The presumptive Republican nominee for president, Sen. John McCain, released a statement applauding the decision. 'Today's ruling makes clear that other municipalities like Chicago that have banned handguns have infringed on the constitutional rights of Americans,' he said.","For today’s gun owners, the right to own guns nearly rivals other rights laid out in the U.S. Constitution in terms of its personal salience. About three-quarters of gun owners (74%) say this right is essential to their own sense of freedom.",We should abolish the right to keep and bear arms,https://www.law.cornell.edu/wex/second_amendment,https://www.law.cornell.edu/wex/second_amendment,https://www.law.cornell.edu/wex/second_amendment,https://www.npr.org/templates/story/story.php?storyId=91913260,https://www.pewresearch.org/social-trends/2017/06/22/guns-and-daily-life-identity-experiences-activities-and-involvement/,Gun ownership is a right,-1,1.0
kp_7_2,evi_7_13,evi_7_14,evi_7_15,,,"According to a Feb. 2013 Pew Research report, 32% of gun owners owned guns for hunting and 7% owned guns for target or sport shooting.","In 2011, there were 13.7 million hunters 16 years old or older in the United States, and they spent $7.7 billion on guns, sights, ammunition, and other hunting equipment.","According to data from 2016, approximately 10 million people used firearms for hunting, more than 50 percent of all hunters participated in target shooting, and 22 percent of hunters visited shooting ranges (U.S. Fish and Wildlife Service, 2018).",,,We should abolish the right to keep and bear arms,https://gun-control.procon.org/,https://gun-control.procon.org/,https://www.rand.org/research/gun-policy/analysis/hunting-and-recreation.html,,,Gun ownership is necessary for hunting/sports-shooting,-1,1.0
kp_7_3,evi_7_19,evi_7_20,evi_7_21,evi_7_22,evi_7_24,"Constitutions in 37 US states protect the right to bear arms for self-defense, most with explicit language such as Alabama’s: 'every citizen has a right to bear arms in defense of himself and the state.'","Wayne LaPierre, Executive Vice President of the NRA, stated, 'The only thing that stops a bad guy with a gun is a good guy with a gun.'","A May 9, 2013 48% of convicted felons surveyed admitted that they avoided committing crimes when they knew the victim was armed with a gun.",Pew Foundation report found that 79% of male gun owners and 80% of female gun owners said owning a gun made them feel safer and 64% of people living in a home in which someone else owns a gun felt safer.,"In a Gallup survey conducted in August 2019, gun owners were most likely to cite personal safety or protection as the reason they own a firearm. Roughly six-in-ten (63%) said this in an open-ended question.",We should abolish the right to keep and bear arms,https://gun-control.procon.org/,https://gun-control.procon.org/,https://gun-control.procon.org/,https://gun-control.procon.org/,https://www.pewresearch.org/fact-tank/2021/09/13/key-facts-about-americans-and-guns/,Gun ownership promotes self protection,-1,1.0
kp_7_5,evi_7_39,evi_7_40,evi_7_42,evi_7_43,evi_7_44,"Ian Ayres, JD, PhD, and John J. Donohue, JD, PhD, Professors of Law at Yale Law School and Stanford Law School respectively, state, “with guns being a product that can be easily carried away and quickly sold at a relatively high fraction of the initial cost, the presence of more guns can actually serve as a stimulus to burglary and theft.",A Secret Service analysis found that of 24 mass shootings in 2019 at least 10 (42%) involved illegally possessed guns.,"According to a Bureau of Justice Statistics May 2013 report, 37.4% of state prison inmates who “used, carried, or possessed a firearm when they committed the crime for which they were serving a prison sentence” obtained the gun from a family member or friend.","'Guns do fall into the wrong hands,' Commissioner Ramsey said, adding that many guns used by criminals were originally purchased legally.","One of the worst recent examples was the massacre in a Sutherland Springs, Texas, church last November, in which 26 people were killed by a man whose domestic violence conviction should have barred him from buying guns.",We should abolish the right to keep and bear arms,https://gun-control.procon.org/,https://gun-control.procon.org/,https://gun-control.procon.org/,https://www.bbc.co.uk/news/av/world-us-canada-21269683,https://www.npr.org/2018/01/26/580143957/what-it-takes-to-get-guns-out-of-the-wrong-hands,Guns can fall into the wrong hands,1,1.0
kp_7_6,evi_7_47,evi_7_49,evi_7_50,evi_7_51,evi_7_52,"Marjorie Sanfilippo, PhD, Professor of Psychology at Eckerd College who has researched children’s behavior around guns, stated, “We put gates around swimming pools to keep children from drowning. We put safety caps on medications to keep children from poisoning themselves. Because children are naturally curious and impulsive, and because we have shown time and again that we cannot ‘gun-proof’ them with education, we have a responsibility to keep guns out of the hands of children.”","Accidental gun deaths occur mainly to those under 25 years old. So far in 2022, 209 children (age 0-17) have died by gunshot and an additional 519 were injured. Adolescents are particularly susceptible to accidental shootings due to specific behavioral characteristics associated with adolescence, such as impulsivity, feelings of invincibility, and curiosity about firearms.","In 2021, unintentional shooting deaths accounted for over 4% (2,007) of total gun related deaths (44,912) in the United States.",A study from 2014 showed that victims of unintentional shootings were three times more likely to live in a household with a firearm.,"A 2001 study found that regardless of age, people are nine times more likely to die from unintentional firearm injuries when they live in states with more guns, relative to states with fewer guns.",We should abolish the right to keep and bear arms,https://gun-control.procon.org/,https://www.aftermath.com/content/accidental-shooting-deaths-statistics/,https://www.aftermath.com/content/accidental-shooting-deaths-statistics/,https://www.aftermath.com/content/accidental-shooting-deaths-statistics/,https://www.aftermath.com/content/accidental-shooting-deaths-statistics/,Guns lead to accidental deaths,1,1.0
kp_8_0,evi_8_3,evi_8_4,evi_8_5,evi_8_6,evi_8_7,"There are warning signs that acute budget and service pressures can encourage a retreat to silos or ‘passing the buck’, particularly at the operational level.","The UK’s largest national food bank charity, the Trussell Trust, has documented a 5,146 percent increase in emergency food parcels distributed between 2008 and 2018. In that decade this food bank network went from distributing just under 26,000 parcels a year to handing out more than 1.33 million of them.","Our analysis of government data shows that the budget allocated for welfare for children and families has borne the brunt of public expenditure cuts, falling by 44 percent between 2010 and 2018.","“Taking care of ‘at risk’ children is a mandatory concern. However, youth centres and outreach services are considered unessential and have been cut to the bone. Yet these are services that help prevent children becoming ‘at risk’ in the first place,” said Gray.","“For example, the Institute for Fiscal Studies (IFS) estimate that even if the government locks in a moderate overall spending increase over the next five years, because of commitments to protect certain areas of spending, the remaining ‘unprotected’ areas - including most aspects of social security, prisons, local government and adult education - are facing an average annual cut of 0.4 per cent per year.",We should adopt an austerity regime,https://www.jrf.org.uk/sites/default/files/jrf/migrated/files/Summary-Final.pdf,https://www.hrw.org/report/2019/05/20/nothing-left-cupboards/austerity-welfare-cuts-and-right-food-uk,https://www.hrw.org/report/2019/05/20/nothing-left-cupboards/austerity-welfare-cuts-and-right-food-uk,https://www.cam.ac.uk/research/news/austerity-cuts-twice-as-deep-in-england-as-rest-of-britain,https://www.ippr.org/blog/austerity-there-is-an-alternative-and-the-uk-can-afford-to-deliver-it,Austerity cuts access to essential services,-1,1.0
kp_8_1,evi_8_8,evi_8_9,evi_8_10,evi_8_11,evi_8_12,The use of austerity measures during times of economic hardship has caused much controversy about their purpose and usefulness. Many economists have pointed out that the measures have contractionary effects and usually exacerbate ongoing economic recessions.,"In Argentina, Russia, and Turkey, for example, many high-level government officials resigned when mistimed austerity packages did more harm than good for their economies.","For instance, interest rates on Greek debt fell following its first bailout. However, the gains were limited to the government having decreased interest rate expenses. Although the private sector was unable to benefit, the major beneficiaries of lower rates are large corporations. Consumers benefited only marginally from lower rates, but the lack of sustainable economic growth kept borrowing at depressed levels despite the lower rates.","“If he wants to reassure the markets, he will have to announce early action in the form of a big fiscal tightening. That could deepen and/or lengthen the recession and ultimately create an even bigger fiscal hole,” said Ruth Gregory, senior U.K. economist at Capital Economics.","The financial press and many economists have pointed to austerity policies that cut government expenditures and increased tax rates as an explanation for the slow recovery in several European countries (e.g. Blanchard and Leigh 2013, Krugman 2015).",We should adopt an austerity regime,https://www.britannica.com/topic/austerity,https://www.britannica.com/topic/austerity,https://www.investopedia.com/terms/a/austerity.asp,https://www.cnbc.com/2022/11/15/british-government-to-usher-in-new-era-of-austerity-in-effort-to-restore-market-confidence.html,https://cepr.org/voxeu/columns/austerity-aftermath-great-recession,Austerity extend recessions,-1,1.0
kp_8_5,evi_8_36,evi_8_37,evi_8_38,evi_8_39,evi_8_40,"More recently, supporters of austerity argue that the rebound in economic growth in Latvia and Estonia show that countries who pursue fiscal austerity can overcome their problems. (e.g. Latvia showed fast growth of 5.1% in past 12 months at Q1 2012)","If budget deficits are not cut, it can lead to higher bond yields (e.g. in case of Greece, Spain and Ireland).","After 2009 recession, many European and US economies faced record levels of peace-time deficit. The UK budget deficit was over 10% of GDP, causing a rise in national debt.","The measures implemented in 2010 achieved a remarkable degree of fiscal consolidation, bringing the Greece government deficit from 15.8% in 2009 to 10.7% in 2010.","Contrary to this, research from Harvard economist Alberto Alesina demonstrated the benefits of ‘expansionary austerity:’ fiscal policy changes in advanced economies between 1970 and 2007 showed that spending cuts were often 'associated with economic expansions rather than recessions'.",We should adopt an austerity regime,https://www.economicshelp.org/blog/5366/economics/austerity-pros-and-cons/,https://www.economicshelp.org/blog/5366/economics/austerity-pros-and-cons/,https://www.economicshelp.org/blog/5366/economics/austerity-pros-and-cons/,https://www.intereconomics.eu/contents/year/2013/number/1/article/austerity-measures-in-crisis-countries-results-and-impact-on-mid-term-development.html,https://www.canford.com/d/~board/views-from-the-study/post/is-austerity-ever-necessary,Austerity improves the economic measures,1,1.0
kp_8_6,evi_8_41,evi_8_42,evi_8_43,evi_8_44,,"Cutting budget deficits will give investors greater confidence about the long-term performance of the economy. Lower debt levels will encourage the private sector to invest. In 2012, the EU commission produced a report saying that austerity measures are working to reduce budget deficits. José Manuel Barroso, the commission president, said: ‘I can say the medicine is beginning to work’ (Economist). The EU point to falling deficits in countries such as Estonia, Finland, Luxembourg and Sweden. Hungary has also improved its fiscal position.","Some economists argue ‘austerity’ is necessary to reduce budget deficits, and cutting government spending is compatible with improving the long-term economic performance of the economy.","If policymakers and the electorate show sufficient resolve, carrying through with austerity will eventually be rewarded by better financing conditions. Austerity pays off in the long run.","On the basis of Arellano (2008) model simulations we find that cutting government consumption may indeed raise the default premium in the short run. This is not because investors are impatient or schizophrenic about austerity. Rather, this is because with output being temporarily reduced due to austerity, financial market participants understand that a government is tempted to default on its debt obligations in order to free scarce resources from debt service for other expenditures.",,We should adopt an austerity regime,https://www.economicshelp.org/blog/5366/economics/austerity-pros-and-cons/,"https://www.economicshelp.org/blog/5366/economics/austerity-pros-and-cons/#:~:text=Some%20economists%20argue%20'austerity'%20is,economic%20performance%20of%20the%20economy.",https://www.weforum.org/agenda/2015/02/does-austerity-pay-off-in-the-long-run/,https://www.weforum.org/agenda/2015/02/does-austerity-pay-off-in-the-long-run/,,Austerity is important in the long term,1,1.0
kp_8_7,evi_8_45,evi_8_46,evi_8_48,evi_8_49,,"Astute monetary policy and falls in international commodity prices are given by a recent World Bank overview, as reasons for this relatively steady growth in the services and industrial sectors, enjoyed by Morocco and reflected in the country’s GDP.","Morocco was a heavily indebted country in the 1980s. Austerity measures and promarket reforms have been credited with positive outcomes, including economic stability, steady growth at low inflation rates, and a gradual fall in unemployment.",A reduction in wages and public expenditure negatively impacts domestic demand. But this negative effect is offset by the positive effect on exports. A strong state commitment to macroeconomic stability and improved cost competitiveness improved the real exchange rate (REER) and facilitated an export-led recovery.,"Put simply, a growth in external demand (consumers outside Ireland buying more Irish produced goods and services) compensated for a contraction in the internal demand caused by austerity (Irish consumers, households and government spending less). It’s the German model of adjustment: commit to macroeconomic stability, compress domestic demand and expand exports.",,We should adopt an austerity regime,https://www.sciencedirect.com/topics/social-sciences/austerity,https://www.sciencedirect.com/topics/social-sciences/austerity,https://blogs.lse.ac.uk/europpblog/2016/02/02/debunking-myths-why-austerity-and-structural-reforms-have-had-little-to-do-with-irelands-economic-recovery/,https://blogs.lse.ac.uk/europpblog/2016/02/02/debunking-myths-why-austerity-and-structural-reforms-have-had-little-to-do-with-irelands-economic-recovery/,,Austerity is important to increase stability,1,1.0
