topic,argument,stance,evidence_1,evidence_2,evidence_3,evidence_4,evidence_5
We should end affirmative action,Affirmative action is ineffective,1,In 2010 Arizona voters passed a constitutional ban on government-sponsored affirmative action known as Proposition 107 [REF].,"With privileged African Americans gaining professional upward mobility through affirmative action and equal opportunity sanctions in education and employment, the less-skilled, less-educated African Americans fall behind.",,,
We should end affirmative action,Affirmative action is necessary to compensate for the past,-1,"Barack Obama, JD, 44th President of the United States, provided the following statement on affirmative action to the NAACP “2008 Voter Action Center,”: 'I support affirmative action. When there is strong evidence of prolonged and systemic discrimination by organizations, affirmative action may be the only meaningful remedy available.'","Affirmative action is a mechanism that has allowed historically excluded groups to attend college. Students of color have long faced systemic barriers in the American education system, including exclusion, segregation, underfunding, fewer resources, and lower familial wealth. As a result, students of color are more likely to fare worse on the indicators of success that colleges evaluate for admission, making it harder for people of color to access top-tier public and private colleges. Race-conscious admissions practices, such as affirmative action, attempt to remedy these inequities by encouraging colleges to take a closer look at some of the nontraditional factors that could make a student successful—factors often overlooked in traditional admissions criteria.","Affirmative action itself has been defined as 'any measure, beyond simple termination of a discriminatory practice, adopted to correct or compensate for past or present discrimination or to prevent discrimination from recurring in the future.' (U.S. Commission on Civil Rights, Statement on Affirmative Action, October 1977.)","These programs have brought or accompanied significant gains for women and minorities. In the past 25 years, black participation in the work force has increased 50 percent and the percentage of blacks holding managerial positions has jumped fivefold. In 1970, women comprised only 5 percent of lawyers compared to 20 percent today. Twenty-five years ago, the student population at University of California, Berkeley, was 80 percent white compared to 45 percent today.",The Party supports affirmative action programs to further this goal.
We should end affirmative action,Affirmative action is not just,1,Affirmative action is a shallow solution to a much deeper issue in the American education system. We are failing a larger demographic of students who deserve the same educational opportunities as everyone else.,"While this system may seem helpful at diversifying campuses on the surface, it is simply putting a Band-Aid on systematic issues.","Affirmative action is peak performative activism, as it focuses on making schools look more appealing than actually making sure marginalized communities are getting equal opportunities.","This agenda is celebrated on the backs of Asian-American students. Students for Fair Admissions Inc. is in the process of suing Harvard University, alleging that the university caps the number of admissions for Asian American students. Race-blind admission testing would allow the students, with top test scores in the country, a place at a prestigious university. Instead, they are marked down on “personality trait” testing, in which they coincidentally and consistently score low.","This agenda is celebrated on the backs of Asian-American students. Students for Fair Admissions Inc. is in the process of suing Harvard University, alleging that the university caps the number of admissions for Asian American students. Race-blind admission testing would allow the students, with top test scores in the country, a place at a prestigious university. Instead, they are marked down on “personality trait” testing, in which they coincidentally and consistently score low."
We should end affirmative action,Affirmative action perpetuates prejudice,1,"Opponents,[REF] who sometimes say that affirmative action is 'reverse discrimination', further claim that affirmative action has undesirable side-effects in addition to failing to achieve its goals.","In Sweden, the Supreme Court has ruled that 'affirmative action' ethnic quotas in universities are discrimination and hence unlawful.","Some policies adopted as affirmative action, such as racial quotas or gender quotas for collegiate admission, have been criticised as a form of reverse discrimination, and such implementation of affirmative action has been ruled unconstitutional by the majority opinion of Gratz v. Bollinger.","Hardin's last book The Ostrich Factor: Our Population Myopia (1999), a warning about the threat of overpopulation to the Earth's sustainable economic future, called for coercive constraints on 'unqualified reproductive rights' and argued that affirmative action is a form of racism.","Students for Fair Admissions Inc. is in the process of suing Harvard University, alleging that the university caps the number of admissions for Asian American students. Race-blind admission testing would allow the students, with top test scores in the country, a place at a prestigious university. Instead, they are marked down on “personality trait” testing, in which they coincidentally and consistently score low."
We should end affirmative action,Affirmative action reduces discrimination,-1,"The National Organization for Women (NOW) stated the following in its article 'Talking About Affirmative Action,':'Affirmative Action levels the playing field so people of color and all women have the chance to compete in education and in business. White men hold 95% to 97% of the high-level corporate jobs. And that’s with affirmative action programs in place. Imagine how low figures would be without affirmative action.'","Evidence gathered by the Century Foundation suggests that racially integrated classrooms can reduce students’ racial bias, improve satisfaction and intellectual self-confidence, and enhance leadership skills. These benefits may translate to better economic outcomes and, among other payoffs, prepare students to work in a diverse global economy, increasing the productivity, effectiveness, and creativity of teams.","Historically and internationally, support for affirmative action has sought to achieve a range of goals: bridging inequalities in employment and pay; increasing access to education; enriching state, institutional, and professional leadership with the full spectrum of society; redressing apparent past wrongs, harms, or hindrances, in particular addressing the apparent social imbalance left in the wake of slavery and slave laws.",The government claimed that this was an affirmative action scheme to assist geographically disadvantaged students to gain tertiary education.,"Affirmative action - provide positive preferential treatment in allotment of jobs and access to higher education, as a means to accelerate the integration of the SCs and STs with mainstream society."
We should end affirmative action,Affirmative action reduces quality,1,"Clint Bolick, JD, Director of the Goldwater Institute, mentioned : 'When blacks and Hispanics flunk examinations, the cause is less likely to be discrimination than the appalling educational conditions to which most economically disadvantaged black and Hispanic children are consigned. ‘Affirmative action’ programs that leap-frog less-qualified minorities over more-qualified non-minorities sweep those systemic problems under the carpet. As such, race-based affirmative action programs perpetuate fraud upon the very groups they are designed to help.'","Williams believes programs such as affirmative action and minimum wage laws set up to aide minorities have, in fact, been harmful to them and stifled their ability to advance in society.",Some opponents[REF] further claim that affirmative action has undesirable side-effects and that it fails to achieve its goals.,"This agenda is celebrated on the backs of Asian-American students. Students for Fair Admissions Inc. is in the process of suing Harvard University, alleging that the university caps the number of admissions for Asian American students. Race-blind admission testing would allow the students, with top test scores in the country, a place at a prestigious university. Instead, they are marked down on “personality trait” testing, in which they coincidentally and consistently score low.","This agenda is celebrated on the backs of Asian-American students. Students for Fair Admissions Inc. is in the process of suing Harvard University, alleging that the university caps the number of admissions for Asian American students. Race-blind admission testing would allow the students, with top test scores in the country, a place at a prestigious university. Instead, they are marked down on “personality trait” testing, in which they coincidentally and consistently score low."
We should legalize cannabis,Alcohol and tobacco are more harmful drugs yet remain legal,1,"In December 2006, a 12-year gateway drug hypothesis study on 214 boys from ages 10-12 by the American Psychiatric Association was published in the American Journal of Psychiatry. The study concluded adolescents who used cannabis prior to using other drugs, including alcohol and tobacco, were no more likely to develop a substance abuse disorder than subjects in the study who did not use cannabis prior to using other drugs.","A 2002 DAWN report, for the USA records two possible drug-induced deaths where marijuana was the only drug found. Legal drugs however, have been the cause of more than half a million deaths a year: 480,000 from tobacco smoking-related illnesses and 80,000 from alcohol abuse [REF","In 2001, the New Mexico state-commissioned Drug Policy Advisory Group stated that decriminalizing cannabis will result in greater availability of resources to respond to more serious crimes without any increased risks to public safety.","Psychopharmacologist David Nutt argues, though he is against full declassification, that the harm caused by cannabis is far less than that caused by alcohol or tobacco, which, if they were invented today would be illegal.","Making marijuana legally available to adults on more or less the same terms as alcohol would tend to reduce crime, certainly by greatly shrinking the illicit market and possibly by reducing alcohol consumption via substitution if smoking marijuana acts, on balance, as a substitute for drinking alcohol rather than a complement to it since drinking seems to have a greater tendency to unleash aggression than does cannabis use."
Assisted suicide should be a criminal offence,Assisted suicide allows people to solicit someone to die to their own benefit,1,"The patient must be an adult and in a 'futile medical condition of constant and unbearable physical or mental suffering that cannot be alleviated'. The patient must have a long-term history with the doctor, with euthanasia/physician-assisted suicide only allowed for permanent residents. ","On the subject of voluntary euthanasia she argues that institutionalizing medically assisted death erodes respect for human life, endangers the vulnerable and disabled, underestimates human capacity for error and vice and is intrinsically discriminatory.","On the subject of voluntary euthanasia she argues that institutionalizing medically assisted death erodes respect for human life, endangers the vulnerable and disabled, underestimates human capacity for error and vice and is intrinsically discriminatory.","On the subject of voluntary euthanasia she argues that institutionalizing medically assisted death erodes respect for human life, endangers the vulnerable and disabled, underestimates human capacity for error and vice and is intrinsically discriminatory.","On the subject of voluntary euthanasia she argues that institutionalizing medically assisted death erodes respect for human life, endangers the vulnerable and disabled, underestimates human capacity for error and vice and is intrinsically discriminatory."
Assisted suicide should be a criminal offence,Assisted suicide allows people to solicit someone to die to their own benefit,1,"Two to three million deaths are prevented each year worldwide by vaccination, and an additional 1.5 million deaths could be prevented each year if all recommended vaccines were used.","In the twentieth century, there were 16,316 deaths from polio and 29,004 deaths from smallpox yearly in the United States; in 2012 there were no reported cases of polio or smallpox.","Diphtheria killed 21,053 people yearly, measles killed 530,217 people yearly, mumps killed 162,344 people yearly, rubella killed 47,745 people yearly, and Hib killed 20,000 people yearly in the twentieth century United States; by 2012 each of these diseases were decreased by 99% because of vaccinations.","According to UNICEF, there were 500 cases of polio in 2014 worldwide (appearing only in three countries: Afghanistan, Nigeria, and Pakistan), down from 350,000 cases in 1988, thanks to vaccination programs","After introduction of the pneumococcal conjugate vaccine in 2000, several studies described a decrease in invasive pneumococcal disease in the United States. One year after its introduction, a group of investigators found a 69% drop in the rate of invasive disease in those of less than two years of age."
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,-1,"That assisted suicide might secure human dignity is a very popular idea. One of the most prominent organizations for assisted suicide in Europe is called “Dignitas”; American laws regulating assisted suicide are called “Death with Dignity Acts” (e.g., the “Washington Death with Dignity Act”); and numerous academic defenders of assisted suicide use the phrase “death with dignity” as a title or starting point for their argumentation. Apparently, the concept of dignity suits the intuitions very well that motivate people to fight for the legalization of physician-assisted death.","In 1992, Kevorkian himself wrote that it is always necessary to consult a psychiatrist when performing assisted suicides because a person's 'mental state is .. of paramount importance.'","Dignity in Dying also outline how they go about their campaign: They encourage their supporters to campaign for a change to the current laws so that a terminally ill, mentally competent adult who feels their suffering has become unbearable can opt for an assisted death, subject to strict rules and safeguards.  They will lobby politicians and other decision makers, and look to educate legal and healthcare professionals and the public in general to support this drive towards obtaining a comprehensive national end-of-life strategy and working procedures.","Dignity in Dying also outline how they go about their campaign: They encourage their supporters to campaign for a change to the current laws so that a terminally ill, mentally competent adult who feels their suffering has become unbearable can opt for an assisted death, subject to strict rules and safeguards.  They will lobby politicians and other decision makers, and look to educate legal and healthcare professionals and the public in general to support this drive towards obtaining a comprehensive national end-of-life strategy and working procedures.","Dignity in Dying also outline how they go about their campaign: .   They encourage their supporters to campaign for a change to the current laws so that a terminally ill, mentally competent adult who feels their suffering has become unbearable can opt for an assisted death, subject to strict rules and safeguards.  They will lobby politicians and other decision makers, and look to educate legal and healthcare professionals and the public in general to support this drive towards obtaining a comprehensive national end-of-life strategy and working procedures."
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,-1,Some studies have claimed to show that current vaccine schedules increase infant mortality and hospitalization rates.,"Despite scientific evidence that strongly contradicts this idea, there are still parents of autistic children that believe that vaccine overload causes autism.","The CDC reports that pneumonia can be caused by the chickenpox vaccine, and a “small possibility” exists that the flu vaccine could be associated with Guillain-Barré Syndrome, a disorder in which the person’s immune system attacks parts of the peripheral nervous system, in about one or two per million people vaccinated.","The rotavirus vaccination can cause intussusception, a type of bowel blockage that may require hospitalization, in about one per 20,000 babies in the United States.","According to the CDC, all vaccines carry a risk of a life-threatening allergic reaction (anaphylaxis) in about one per million children."
Assisted suicide should be a criminal offence,Assisted suicide is akin to killing someone,1,"To this effect the Court quoted a House Judiciary Committee hearing, stating that a physician performing an assisted suicide, 'must, necessarily and indubitably, intend primarily that the patient be made dead.'","On the subject of voluntary euthanasia she argues that institutionalizing medically assisted death erodes respect for human life, endangers the vulnerable and disabled, underestimates human capacity for error and vice and is intrinsically discriminatory.","On the subject of voluntary euthanasia she argues that institutionalizing medically assisted death erodes respect for human life, endangers the vulnerable and disabled, underestimates human capacity for error and vice and is intrinsically discriminatory.","On the subject of voluntary euthanasia she argues that institutionalizing medically assisted death erodes respect for human life, endangers the vulnerable and disabled, underestimates human capacity for error and vice and is intrinsically discriminatory.","On the subject of voluntary euthanasia she argues that institutionalizing medically assisted death erodes respect for human life, endangers the vulnerable and disabled, underestimates human capacity for error and vice and is intrinsically discriminatory."
Assisted suicide should be a criminal offence,Assisted suicide is akin to killing someone,1,"The World Health Organization (WHO) has estimated that vaccination prevents 3.5–5 million deaths per year, and up to 1.5 million children die each year due to diseases that could have been prevented by vaccination","In 2010, California had the worst whooping cough outbreak in 50 years. A possible contributing factor was parents choosing not to vaccinate their children.","It is estimated that full vaccination, from birth to adolescence, of all US children born in a given year would save 33,000 lives and prevent 14 million infections.",The American Academy of Pediatrics states that “most childhood vaccines are 90%-99% effective in preventing disease.” ,"According to Shot@Life, a United Nations Foundation partner organization, vaccines save 2.5 million children from preventable diseases every year, which equates to roughly 285 children saved every hour."
Assisted suicide should be a criminal offence,Assisted suicide reduces suffering,-1,"In early 2014, a New Mexico Second District Judge Nan Nash ruled that terminally ill patients have the right to aid in dying under the state constitution, i.e. making it legal for a doctor to prescribe a lethal dose of medication to a terminally ill patient.",Those who witness others die are 'particularly convinced' that the law should be changed to allow assisted death.,Those who witness others die are 'particularly convinced' that the law should be changed to allow assisted death.,Those who witness others die are 'particularly convinced' that the law should be changed to allow assisted death.,Those who witness others die are 'particularly convinced' that the law should be changed to allow assisted death.
Assisted suicide should be a criminal offence,Assisted suicide reduces suffering,-1,"The First Amendment of the US Constitution states, 'Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof.'","In the ruling for Cantwell v. Connecticut (1939; 9-0), the US Supreme Court held that state and local governments’ infringement upon religious freedom is also unconstitutional. ",Amish communities do not view all vaccinations as “necessary” and some believe that vaccinations weaken the immune system.,"In April 2021, the court decided the case of Vavřička and Others v the Czech Republic. This case originates from the pre-COVID times and deals with the Czech policy of mandatory vaccination of children, but it can be used as a guide for the new policies in this area.","Compulsory vaccination is an interference with the human right of bodily integrity, which is a part of the right to private life enshrined in the Universal Declaration of Human Rights as well as in the European Convention on Human Rights."
Assisted suicide should be a criminal offence,Assisted suicide should not be allowed because many times people can still get better,1,"Physician-assisted suicide and euthanasia should not be performed simply because a patient is depressed, tired of life, worried about being a burden, or worried about being dependent. All these may be signs that not every effort has yet been made.","When rate of vaccination within a population is greater than 92%, outbreaks of measles typically no longer occur; however, they may occur again if the rate of vaccination decrease.","When rate of vaccination within a population is greater than 92%, outbreaks of measles typically no longer occur; however, they may occur again if the rate of vaccination decrease.","When rate of vaccination within a population is greater than 92%, outbreaks of measles typically no longer occur; however, they may occur again if the rate of vaccination decrease.","When rate of vaccination within a population is greater than 92%, outbreaks of measles typically no longer occur; however, they may occur again if the rate of vaccination decrease."
Assisted suicide should be a criminal offence,Assisted suicide should not be allowed because many times people can still get better,1,"Of the 66 cases of measles reported in the U.S. in 2005, slightly over half were attributable to one unvaccinated teenager who became infected during a visit to Romania.[REF] This individual returned to a community with many unvaccinated children. The resulting outbreak infected 34 people, mostly children and virtually all unvaccinated; three of them were hospitalized. ",,,,
Assisted suicide should be a criminal offence,Assisted suicide violates the doctor's role,1,"The organization held that the danger of making doctors the agents of a patient's death far outweighed any advantages to assisted suicide, or safeguards in the initiative's text.","The State of New York had enacted a prohibition against physician-assisted suicide, making it a crime for a physician to administer lethal medication or to otherwise knowingly and intentionally end the life of a patient, even a consenting, mentally competent, and terminally ill patient.","Dr. Lynda Young, MD, stated her opposition when she said, 'Physician-assisted suicide is fundamentally incompatible with the physician's role as healer.'","In 1990, Dr. Jack Kevorkian, a Michigan physician, became famous for educating and assisting people in committing physician-assisted suicide, which resulted in a Michigan law against the practice in 1992.","When rate of vaccination within a population is greater than 92%, outbreaks of measles typically no longer occur; however, they may occur again if the rate of vaccination decrease."
Assisted suicide should be a criminal offence,Assisted suicide violates the doctor's role,1,"When rate of vaccination within a population is greater than 92%, outbreaks of measles typically no longer occur; however, they may occur again if the rate of vaccination decrease.","When rate of vaccination within a population is greater than 92%, outbreaks of measles typically no longer occur; however, they may occur again if the rate of vaccination decrease.","When rate of vaccination within a population is greater than 92%, outbreaks of measles typically no longer occur; however, they may occur again if the rate of vaccination decrease.","Smallpox was a contagious and deadly disease, causing the deaths of 20–60% of infected adults and over 80% of infected children.[15] When smallpox was finally eradicated in 1979, it had already killed an estimated 300–500 million people in the 20th century.",
We should adopt atheism,Atheism discriminates against religious people / violates freedom of religion,-1,"John Locke in contrast, though an advocate of tolerance, urged authorities not to tolerate atheism, believing that the denial of God's existence would undermine the social order and lead to chaos.","As part of a two-month protest campaign, Donohue called for a boycott of the film The Golden Compass, believing that while the religious elements of the film would be watered down from the source novels, the film would still encourage children to read the series, which Donohue says denigrates Christianity and promotes atheism for kids, citing author Philip Pullman as saying that he is trying to undermine the basis of Christian belief.",The report also criticized the atheism that permeates the whole Russian dictatorship; they have denounced our religion and our God as 'lies'.,"Article 37 of the Albanian Constitution of 1976 stipulated, The State recognises no religion, and supports atheistic propaganda in order to implant a scientific materialistic world outlook in the people,  and the penal code of 1977 imposed prison sentences of three to ten years for religious propaganda and the production, distribution, or storage of religious literature.",
We should adopt atheism,Atheism is beneficial to the person that adopts it,1,"Baggini argues that atheism is a superior basis for ethics, claiming that a moral basis external to religious imperatives is necessary to evaluate the morality of the imperatives themselves-to be able to discern, for example, that thou shalt steal is immoral even if one's religion instructs it-and that atheists, therefore, have the advantage of being more inclined to make such evaluations.","La Mettrie defended a purely pleasure-based view of the proper end of human life, and advocated atheism as the only means of liberating human beings from the various forms of oppression which stand in the way of human progress.","Being an atheists often comes with contradictory ideologies that the society thrusts upon people but on the inside, atheists are free of conflicting ideas. They do not need to debate almost every time some stranger comments or offends any religion for they not believe in religion. They do not ever get into heated debates about which religion is better than the other.",They believe in scientific explanations and do not dwell on mythologies that are most of the time impossible to believe in unless you are a blind follower. Their reasons and concepts are clear and they are happy about whatever they believe to be true. Satisfaction at heart is the most important thing people seek and atheism brings it in the most literary and non-mythical way.,Every religion has some facts included in their sacred books that lead to controversy unless the person gives up reasoning and accepts just what the book has to say. Atheists are free of these confusions. They do not have to fight their own religious concepts to make them accept that theirs is the most supreme form of religion in the whole world. No gory details of what would happen if you don’t pray is one of best advantages that atheists get to live with.
We should adopt atheism,Atheism lacks morality,-1,"Douglas Wilson, an evangelical theologian, argues that while atheists can behave morally, belief is necessary for an individual to give a rational and coherent account of why they are obligated to lead a morally responsible life.",,,,
We should adopt atheism,Atheism should be adopted since we cannot prove that God exists,1,"Another document claimed at around the same time that one Marlowe is able to show more sound reasons for Atheism than any divine in England is able to give to prove divinity, and that .. he hath read the Atheist lecture to Sir Walter Raleigh and others.","A few years ago, in a conversation with fellow atheist Peter Boghossian, Richard Dawkins admitted that no evidence would convince him of God’s existence as he could always explain it away.","A metaphysically courageous atheist might try a more direct line of attack. He might acknowledge that God is not understood by theists to be a part of the physical universe and therefore is not the kind of thing that could be observed. Nevertheless, he might maintain that it is not rational to believe in what is not observable. Therefore, if by “God” we mean something inherently unobservable, then belief in him is inherently irrational. It is not simply that the “God hypothesis” fails an empirical test; it fails even to be a meaningful hypothesis. Such an argument, if successful, would have the benefit (from the atheist’s point of view) of ruling out not only belief in God but also belief in a host of other things that many atheists find suspect, from minds to objective moral values.",Atheist Michael Scriven insists we need not have a proof that God does not exist in order to justify atheism. Atheism is obligatory in the absence of any evidence for God's existence.,"Theodore Drange (2006)  has developed an argument that if God were the sort of being that wanted humans to come to believe that he exists, then he could bring it about that far more of them would believe than currently do.  God would be able, he would want humans to believe, there is nothing that he would want more, and God would not be irrational.  So God would bring it about that people would believe.  In general, he could have brought it about that the evidence that people have is far more convincing than what they have.  He could have miraculously appeared to everyone in a fashion that was far more compelling than the miracles stories that we have.  It is not the case that all, nearly all, or even a majority of people believe, so there must not be a God of that sort."
