key_point_id,evidence_id,evidence,topic,source,argument,stance,label
kp_7_2,evi_7_15,"According to data from 2016, approximately 10 million people used firearms for hunting, more than 50 percent of all hunters participated in target shooting, and 22 percent of hunters visited shooting ranges (U.S. Fish and Wildlife Service, 2018).",We should abolish the right to keep and bear arms,https://www.rand.org/research/gun-policy/analysis/hunting-and-recreation.html,Gun ownership is necessary for hunting/sports-shooting,-1,1.0
kp_7_3,evi_7_24,"In a Gallup survey conducted in August 2019, gun owners were most likely to cite personal safety or protection as the reason they own a firearm. Roughly six-in-ten (63%) said this in an open-ended question.",We should abolish the right to keep and bear arms,https://www.pewresearch.org/fact-tank/2021/09/13/key-facts-about-americans-and-guns/,Gun ownership promotes self protection,-1,1.0
kp_7_5,evi_7_44,"One of the worst recent examples was the massacre in a Sutherland Springs, Texas, church last November, in which 26 people were killed by a man whose domestic violence conviction should have barred him from buying guns.",We should abolish the right to keep and bear arms,https://www.npr.org/2018/01/26/580143957/what-it-takes-to-get-guns-out-of-the-wrong-hands,Guns can fall into the wrong hands,1,1.0
kp_7_6,evi_7_49,"Accidental gun deaths occur mainly to those under 25 years old. So far in 2022, 209 children (age 0-17) have died by gunshot and an additional 519 were injured. Adolescents are particularly susceptible to accidental shootings due to specific behavioral characteristics associated with adolescence, such as impulsivity, feelings of invincibility, and curiosity about firearms.",We should abolish the right to keep and bear arms,https://www.aftermath.com/content/accidental-shooting-deaths-statistics/,Guns lead to accidental deaths,1,1.0
kp_8_0,evi_8_1,"Nationally, local authority budgets were cut by nearly a third from 2010 to 2018, according to the UK National Audit Office and the public health grant fell by £700m in real terms between 2014/15 and 2019/20, as revealed by a Health Foundation report. Across society a decade was defined by the destruction of a safety net built over many years. From the closure of Sure Start centres and libraries to the crumbling estates and rocketing vacancy lists of NHS organisations – few public services were left unscathed.",We should adopt an austerity regime,https://www.bma.org.uk/news-and-opinion/austerity-covid-s-little-helper,Austerity cuts access to essential services,-1,1.0
kp_8_1,evi_8_8,The use of austerity measures during times of economic hardship has caused much controversy about their purpose and usefulness. Many economists have pointed out that the measures have contractionary effects and usually exacerbate ongoing economic recessions.,We should adopt an austerity regime,https://www.britannica.com/topic/austerity,Austerity extend recessions,-1,1.0
kp_8_5,evi_8_36,"More recently, supporters of austerity argue that the rebound in economic growth in Latvia and Estonia show that countries who pursue fiscal austerity can overcome their problems. (e.g. Latvia showed fast growth of 5.1% in past 12 months at Q1 2012)",We should adopt an austerity regime,https://www.economicshelp.org/blog/5366/economics/austerity-pros-and-cons/,Austerity improves the economic measures,1,1.0
kp_8_6,evi_8_41,"Cutting budget deficits will give investors greater confidence about the long-term performance of the economy. Lower debt levels will encourage the private sector to invest. In 2012, the EU commission produced a report saying that austerity measures are working to reduce budget deficits. José Manuel Barroso, the commission president, said: ‘I can say the medicine is beginning to work’ (Economist). The EU point to falling deficits in countries such as Estonia, Finland, Luxembourg and Sweden. Hungary has also improved its fiscal position.",We should adopt an austerity regime,https://www.economicshelp.org/blog/5366/economics/austerity-pros-and-cons/,Austerity is important in the long term,1,1.0
kp_8_7,evi_8_46,"Morocco was a heavily indebted country in the 1980s. Austerity measures and promarket reforms have been credited with positive outcomes, including economic stability, steady growth at low inflation rates, and a gradual fall in unemployment.",We should adopt an austerity regime,https://www.sciencedirect.com/topics/social-sciences/austerity,Austerity is important to increase stability,1,1.0
kp_8_8,evi_8_51,"That's the tipping point, according to a study by the World Bank. It found that if the debt-to-GDP ratio exceeds 77% for an extended period of time, it slows economic growth. Every percentage point of debt above this level costs the country 1.7% in economic growth.",We should adopt an austerity regime,https://www.thebalancemoney.com/austerity-measures-definition-examples-do-they-work-3306285,Austerity is necessary to reduce deficits or pay debts,1,1.0
kp_8_2,evi_8_14,"Philip Alston, the UN’s rapporteur on extreme poverty and human rights, ended a two-week fact-finding mission to the UK with a stinging declaration that levels of child poverty were “not just a disgrace, but a social calamity and an economic disaster”, even though the UK is the world’s fifth largest economy,",We should adopt an austerity regime,https://www.theguardian.com/society/2018/nov/16/uk-austerity-has-inflicted-great-misery-on-citizens-un-says,Austerity is unfair to the citizens,-1,1.0
kp_8_9,evi_8_60,"For example, the global economic downturn that began in 2008 left many governments with reduced tax revenues and exposed what some believed were unsustainable spending levels. Several European countries, including the United Kingdom, Greece, and Spain, turned to austerity as a way to alleviate budget concerns.",We should adopt an austerity regime,https://www.investopedia.com/terms/a/austerity.asp,Austerity regime is essential in economically troubled times,1,1.0
kp_8_3,evi_8_24,"In exchange for bailouts, the EU and European Central Bank (ECB) embarked on an austerity program that sought to bring Greece's finances under control. Greece's deficit has dramatically decreased, but the country's austerity program has been a disaster in terms of healing the economy.",We should adopt an austerity regime,https://www.investopedia.com/terms/a/austerity.asp,Austerity results in lower growth,-1,1.0
kp_8_4,evi_8_33,"Alessandro Turrini finds that contrary to expectations, austerity policies may have been responsible for creating more unemployment in countries with stronger employment protection legislation. One potential reason for this is that while countries with more regulated labour markets have not experienced as many redundancies from austerity, they have also had far lower job creation levels.",We should adopt an austerity regime,,Austerity results in lower job creation,-1,1.0
kp_15_0,evi_15_2,"For example, one study found that students of color experience a 23 percentage point decline in likelihood of admission to highly selective public colleges after an affirmative action ban goes into effect.",We should end affirmative action,https://www.americanprogress.org/article/5-reasons-support-affirmative-action-college-admissions/,Affirmative action boosts diversity,-1,1.0
kp_15_3,evi_15_40,"Some opponents believe, among other things, that affirmative action devalues the accomplishments of people who belong to a group it's supposed to help, therefore making affirmative action counter-productive.",We should end affirmative action,https://en.wikipedia.org/wiki/Affirmative_action_in_the_United_States,Affirmative action diminishes the achievements of minorities,1,1.0
kp_15_4,evi_15_46,In 2010 Arizona voters passed a constitutional ban on government-sponsored affirmative action known as Proposition 107 [REF].,We should end affirmative action,https://en.wikipedia.org/wiki/Affirmative_action_in_the_United_States,Affirmative action is ineffective,1,1.0
kp_15_1,evi_15_14,"Affirmative action itself has been defined as 'any measure, beyond simple termination of a discriminatory practice, adopted to correct or compensate for past or present discrimination or to prevent discrimination from recurring in the future.' (U.S. Commission on Civil Rights, Statement on Affirmative Action, October 1977.)",We should end affirmative action,https://www.aaaed.org/aaaed/About_Affirmative_Action__Diversity_and_Inclusion.asp,Affirmative action is necessary to compensate for the past,-1,1.0
kp_15_5,evi_15_45,"This agenda is celebrated on the backs of Asian-American students. Students for Fair Admissions Inc. is in the process of suing Harvard University, alleging that the university caps the number of admissions for Asian American students. Race-blind admission testing would allow the students, with top test scores in the country, a place at a prestigious university. Instead, they are marked down on “personality trait” testing, in which they coincidentally and consistently score low.",We should end affirmative action,https://dailyiowan.com/2018/07/18/jaimes-affirmative-action-perpetuates-racism/,Affirmative action is not just,1,1.0
kp_15_6,evi_15_59,"Opponents,[REF] who sometimes say that affirmative action is 'reverse discrimination', further claim that affirmative action has undesirable side-effects in addition to failing to achieve its goals.",We should end affirmative action,https://en.wikipedia.org/wiki/Affirmative_action,Affirmative action perpetuates prejudice,1,1.0
kp_15_2,evi_15_36,"Similarly, Johnson v. Transportation Agency 480 U.S. 616 (1987), upheld a voluntary affirmative action plan to correct a 'manifest imbalance' demonstrated by statistical evidence in the representation of minorities and women in traditionally segregated job categories.",We should end affirmative action,https://en.wikipedia.org/wiki/Male_privilege,Affirmative action reduces discrimination,-1,1.0
kp_15_7,evi_15_65,"Clint Bolick, JD, Director of the Goldwater Institute, mentioned : 'When blacks and Hispanics flunk examinations, the cause is less likely to be discrimination than the appalling educational conditions to which most economically disadvantaged black and Hispanic children are consigned. ‘Affirmative action’ programs that leap-frog less-qualified minorities over more-qualified non-minorities sweep those systemic problems under the carpet. As such, race-based affirmative action programs perpetuate fraud upon the very groups they are designed to help.'",We should end affirmative action,https://aclu.procon.org/questions/does-the-us-need-affirmative-action/,Affirmative action reduces quality,1,1.0
