topic_id,topic,stance,setting,model_id,ranking
1,Assisted suicide should be a criminal offence,-1,top2_golden,36,3
2,Assisted suicide should be a criminal offence,1,best_golden,1,6
2,Assisted suicide should be a criminal offence,1,best_golden,2,2
2,Assisted suicide should be a criminal offence,1,best_golden,3,5
2,Assisted suicide should be a criminal offence,1,best_golden,4,4
2,Assisted suicide should be a criminal offence,1,best_golden,5,3
2,Assisted suicide should be a criminal offence,1,best_golden,6,1
2,Assisted suicide should be a criminal offence,1,all_baseline,7,5
2,Assisted suicide should be a criminal offence,1,all_baseline,8,3
2,Assisted suicide should be a criminal offence,1,all_baseline,9,6
2,Assisted suicide should be a criminal offence,1,all_baseline,10,1
2,Assisted suicide should be a criminal offence,1,all_baseline,11,2
2,Assisted suicide should be a criminal offence,1,all_baseline,12,4
2,Assisted suicide should be a criminal offence,1,all_golden,13,6
2,Assisted suicide should be a criminal offence,1,all_golden,14,1
2,Assisted suicide should be a criminal offence,1,all_golden,15,2
2,Assisted suicide should be a criminal offence,1,all_golden,16,5
2,Assisted suicide should be a criminal offence,1,all_golden,17,4
2,Assisted suicide should be a criminal offence,1,all_golden,18,3
2,Assisted suicide should be a criminal offence,1,best_baseline,19,6
2,Assisted suicide should be a criminal offence,1,best_baseline,20,4
2,Assisted suicide should be a criminal offence,1,best_baseline,21,1
2,Assisted suicide should be a criminal offence,1,best_baseline,22,5
2,Assisted suicide should be a criminal offence,1,best_baseline,23,2
2,Assisted suicide should be a criminal offence,1,best_baseline,24,3
2,Assisted suicide should be a criminal offence,1,top2_baseline,25,6
2,Assisted suicide should be a criminal offence,1,top2_baseline,26,2
2,Assisted suicide should be a criminal offence,1,top2_baseline,27,4
2,Assisted suicide should be a criminal offence,1,top2_baseline,28,5
2,Assisted suicide should be a criminal offence,1,top2_baseline,29,1
2,Assisted suicide should be a criminal offence,1,top2_baseline,30,3
2,Assisted suicide should be a criminal offence,1,top2_golden,31,6
2,Assisted suicide should be a criminal offence,1,top2_golden,32,5
2,Assisted suicide should be a criminal offence,1,top2_golden,33,3
2,Assisted suicide should be a criminal offence,1,top2_golden,34,4
2,Assisted suicide should be a criminal offence,1,top2_golden,35,1
2,Assisted suicide should be a criminal offence,1,top2_golden,36,2
3,Homeschooling should be banned,-1,best_golden,1,6
3,Homeschooling should be banned,-1,best_golden,2,3
3,Homeschooling should be banned,-1,best_golden,3,2
3,Homeschooling should be banned,-1,best_golden,4,5
3,Homeschooling should be banned,-1,best_golden,5,4
3,Homeschooling should be banned,-1,best_golden,6,1
3,Homeschooling should be banned,-1,all_baseline,7,6
3,Homeschooling should be banned,-1,all_baseline,8,3
3,Homeschooling should be banned,-1,all_baseline,9,5
3,Homeschooling should be banned,-1,all_baseline,10,1
3,Homeschooling should be banned,-1,all_baseline,11,2
3,Homeschooling should be banned,-1,all_baseline,12,4
3,Homeschooling should be banned,-1,all_golden,13,5
3,Homeschooling should be banned,-1,all_golden,14,1
3,Homeschooling should be banned,-1,all_golden,15,2
3,Homeschooling should be banned,-1,all_golden,16,4
3,Homeschooling should be banned,-1,all_golden,17,3
3,Homeschooling should be banned,-1,all_golden,18,6
3,Homeschooling should be banned,-1,best_baseline,19,6
3,Homeschooling should be banned,-1,best_baseline,20,2
3,Homeschooling should be banned,-1,best_baseline,21,1
3,Homeschooling should be banned,-1,best_baseline,22,4
3,Homeschooling should be banned,-1,best_baseline,23,5
3,Homeschooling should be banned,-1,best_baseline,24,3
3,Homeschooling should be banned,-1,top2_baseline,25,6
3,Homeschooling should be banned,-1,top2_baseline,26,3
3,Homeschooling should be banned,-1,top2_baseline,27,2
3,Homeschooling should be banned,-1,top2_baseline,28,5
3,Homeschooling should be banned,-1,top2_baseline,29,1
3,Homeschooling should be banned,-1,top2_baseline,30,4
3,Homeschooling should be banned,-1,top2_golden,31,6
3,Homeschooling should be banned,-1,top2_golden,32,3
3,Homeschooling should be banned,-1,top2_golden,33,2
3,Homeschooling should be banned,-1,top2_golden,34,5
3,Homeschooling should be banned,-1,top2_golden,35,1
3,Homeschooling should be banned,-1,top2_golden,36,4
4,Homeschooling should be banned,1,best_golden,1,6
4,Homeschooling should be banned,1,best_golden,2,1
4,Homeschooling should be banned,1,best_golden,3,5
4,Homeschooling should be banned,1,best_golden,4,4
4,Homeschooling should be banned,1,best_golden,5,2
4,Homeschooling should be banned,1,best_golden,6,3
4,Homeschooling should be banned,1,all_baseline,7,6
4,Homeschooling should be banned,1,all_baseline,8,2
4,Homeschooling should be banned,1,all_baseline,9,5
4,Homeschooling should be banned,1,all_baseline,10,1
4,Homeschooling should be banned,1,all_baseline,11,4
4,Homeschooling should be banned,1,all_baseline,12,3
4,Homeschooling should be banned,1,all_golden,13,5
4,Homeschooling should be banned,1,all_golden,14,4
4,Homeschooling should be banned,1,all_golden,15,1
4,Homeschooling should be banned,1,all_golden,16,6
4,Homeschooling should be banned,1,all_golden,17,2
4,Homeschooling should be banned,1,all_golden,18,3
4,Homeschooling should be banned,1,best_baseline,19,6
4,Homeschooling should be banned,1,best_baseline,20,2
4,Homeschooling should be banned,1,best_baseline,21,3
4,Homeschooling should be banned,1,best_baseline,22,4
4,Homeschooling should be banned,1,best_baseline,23,5
4,Homeschooling should be banned,1,best_baseline,24,1
4,Homeschooling should be banned,1,top2_baseline,25,6
4,Homeschooling should be banned,1,top2_baseline,26,1
4,Homeschooling should be banned,1,top2_baseline,27,3
4,Homeschooling should be banned,1,top2_baseline,28,4
4,Homeschooling should be banned,1,top2_baseline,29,2
4,Homeschooling should be banned,1,top2_baseline,30,5
4,Homeschooling should be banned,1,top2_golden,31,6
4,Homeschooling should be banned,1,top2_golden,32,5
4,Homeschooling should be banned,1,top2_golden,33,2
4,Homeschooling should be banned,1,top2_golden,34,4
4,Homeschooling should be banned,1,top2_golden,35,1
4,Homeschooling should be banned,1,top2_golden,36,3
5,Routine child vaccinations should be mandatory,-1,best_golden,1,6
5,Routine child vaccinations should be mandatory,-1,best_golden,2,1
5,Routine child vaccinations should be mandatory,-1,best_golden,3,3
5,Routine child vaccinations should be mandatory,-1,best_golden,4,5
5,Routine child vaccinations should be mandatory,-1,best_golden,5,2
5,Routine child vaccinations should be mandatory,-1,best_golden,6,4
5,Routine child vaccinations should be mandatory,-1,all_baseline,7,6
5,Routine child vaccinations should be mandatory,-1,all_baseline,8,1
5,Routine child vaccinations should be mandatory,-1,all_baseline,9,3
5,Routine child vaccinations should be mandatory,-1,all_baseline,10,2
5,Routine child vaccinations should be mandatory,-1,all_baseline,11,5
5,Routine child vaccinations should be mandatory,-1,all_baseline,12,4
5,Routine child vaccinations should be mandatory,-1,all_golden,13,6
5,Routine child vaccinations should be mandatory,-1,all_golden,14,3
5,Routine child vaccinations should be mandatory,-1,all_golden,15,1
5,Routine child vaccinations should be mandatory,-1,all_golden,16,5
5,Routine child vaccinations should be mandatory,-1,all_golden,17,2
5,Routine child vaccinations should be mandatory,-1,all_golden,18,4
5,Routine child vaccinations should be mandatory,-1,best_baseline,19,6
5,Routine child vaccinations should be mandatory,-1,best_baseline,20,1
5,Routine child vaccinations should be mandatory,-1,best_baseline,21,2
5,Routine child vaccinations should be mandatory,-1,best_baseline,22,5
5,Routine child vaccinations should be mandatory,-1,best_baseline,23,4
5,Routine child vaccinations should be mandatory,-1,best_baseline,24,3
5,Routine child vaccinations should be mandatory,-1,top2_baseline,25,5
5,Routine child vaccinations should be mandatory,-1,top2_baseline,26,3
5,Routine child vaccinations should be mandatory,-1,top2_baseline,27,1
5,Routine child vaccinations should be mandatory,-1,top2_baseline,28,6
5,Routine child vaccinations should be mandatory,-1,top2_baseline,29,2
5,Routine child vaccinations should be mandatory,-1,top2_baseline,30,4
5,Routine child vaccinations should be mandatory,-1,top2_golden,31,6
5,Routine child vaccinations should be mandatory,-1,top2_golden,32,5
5,Routine child vaccinations should be mandatory,-1,top2_golden,33,1
5,Routine child vaccinations should be mandatory,-1,top2_golden,34,4
5,Routine child vaccinations should be mandatory,-1,top2_golden,35,2
5,Routine child vaccinations should be mandatory,-1,top2_golden,36,3
6,Routine child vaccinations should be mandatory,1,best_golden,1,6
6,Routine child vaccinations should be mandatory,1,best_golden,2,1
6,Routine child vaccinations should be mandatory,1,best_golden,3,4
6,Routine child vaccinations should be mandatory,1,best_golden,4,5
6,Routine child vaccinations should be mandatory,1,best_golden,5,2
6,Routine child vaccinations should be mandatory,1,best_golden,6,3
6,Routine child vaccinations should be mandatory,1,all_baseline,7,6
6,Routine child vaccinations should be mandatory,1,all_baseline,8,5
6,Routine child vaccinations should be mandatory,1,all_baseline,9,2
6,Routine child vaccinations should be mandatory,1,all_baseline,10,3
6,Routine child vaccinations should be mandatory,1,all_baseline,11,1
6,Routine child vaccinations should be mandatory,1,all_baseline,12,4
6,Routine child vaccinations should be mandatory,1,all_golden,13,6
6,Routine child vaccinations should be mandatory,1,all_golden,14,3
6,Routine child vaccinations should be mandatory,1,all_golden,15,2
6,Routine child vaccinations should be mandatory,1,all_golden,16,5
6,Routine child vaccinations should be mandatory,1,all_golden,17,1
6,Routine child vaccinations should be mandatory,1,all_golden,18,4
6,Routine child vaccinations should be mandatory,1,best_baseline,19,6
6,Routine child vaccinations should be mandatory,1,best_baseline,20,1
6,Routine child vaccinations should be mandatory,1,best_baseline,21,2
6,Routine child vaccinations should be mandatory,1,best_baseline,22,3
6,Routine child vaccinations should be mandatory,1,best_baseline,23,5
6,Routine child vaccinations should be mandatory,1,best_baseline,24,4
6,Routine child vaccinations should be mandatory,1,top2_baseline,25,6
6,Routine child vaccinations should be mandatory,1,top2_baseline,26,1
6,Routine child vaccinations should be mandatory,1,top2_baseline,27,2
6,Routine child vaccinations should be mandatory,1,top2_baseline,28,5
6,Routine child vaccinations should be mandatory,1,top2_baseline,29,3
6,Routine child vaccinations should be mandatory,1,top2_baseline,30,4
6,Routine child vaccinations should be mandatory,1,top2_golden,31,6
6,Routine child vaccinations should be mandatory,1,top2_golden,32,4
6,Routine child vaccinations should be mandatory,1,top2_golden,33,1
6,Routine child vaccinations should be mandatory,1,top2_golden,34,5
6,Routine child vaccinations should be mandatory,1,top2_golden,35,3
6,Routine child vaccinations should be mandatory,1,top2_golden,36,2
7,Social media platforms should be regulated by the government,-1,best_golden,1,6
7,Social media platforms should be regulated by the government,-1,best_golden,2,2
7,Social media platforms should be regulated by the government,-1,best_golden,3,3
7,Social media platforms should be regulated by the government,-1,best_golden,4,5
7,Social media platforms should be regulated by the government,-1,best_golden,5,4
7,Social media platforms should be regulated by the government,-1,best_golden,6,1
7,Social media platforms should be regulated by the government,-1,all_baseline,7,6
7,Social media platforms should be regulated by the government,-1,all_baseline,8,2
7,Social media platforms should be regulated by the government,-1,all_baseline,9,4
7,Social media platforms should be regulated by the government,-1,all_baseline,10,1
7,Social media platforms should be regulated by the government,-1,all_baseline,11,3
7,Social media platforms should be regulated by the government,-1,all_baseline,12,5
7,Social media platforms should be regulated by the government,-1,all_golden,13,6
7,Social media platforms should be regulated by the government,-1,all_golden,14,1
7,Social media platforms should be regulated by the government,-1,all_golden,15,2
7,Social media platforms should be regulated by the government,-1,all_golden,16,5
7,Social media platforms should be regulated by the government,-1,all_golden,17,3
7,Social media platforms should be regulated by the government,-1,all_golden,18,4
7,Social media platforms should be regulated by the government,-1,best_baseline,19,6
7,Social media platforms should be regulated by the government,-1,best_baseline,20,1
7,Social media platforms should be regulated by the government,-1,best_baseline,21,2
7,Social media platforms should be regulated by the government,-1,best_baseline,22,5
7,Social media platforms should be regulated by the government,-1,best_baseline,23,3
7,Social media platforms should be regulated by the government,-1,best_baseline,24,4
7,Social media platforms should be regulated by the government,-1,top2_baseline,25,6
7,Social media platforms should be regulated by the government,-1,top2_baseline,26,4
7,Social media platforms should be regulated by the government,-1,top2_baseline,27,3
7,Social media platforms should be regulated by the government,-1,top2_baseline,28,5
7,Social media platforms should be regulated by the government,-1,top2_baseline,29,2
7,Social media platforms should be regulated by the government,-1,top2_baseline,30,1
7,Social media platforms should be regulated by the government,-1,top2_golden,31,6
7,Social media platforms should be regulated by the government,-1,top2_golden,32,2
7,Social media platforms should be regulated by the government,-1,top2_golden,33,4
7,Social media platforms should be regulated by the government,-1,top2_golden,34,5
7,Social media platforms should be regulated by the government,-1,top2_golden,35,1
7,Social media platforms should be regulated by the government,-1,top2_golden,36,3
8,Social media platforms should be regulated by the government,1,best_golden,1,6
8,Social media platforms should be regulated by the government,1,best_golden,2,1
8,Social media platforms should be regulated by the government,1,best_golden,3,2
8,Social media platforms should be regulated by the government,1,best_golden,4,5
8,Social media platforms should be regulated by the government,1,best_golden,5,4
8,Social media platforms should be regulated by the government,1,best_golden,6,3
8,Social media platforms should be regulated by the government,1,all_baseline,7,6
8,Social media platforms should be regulated by the government,1,all_baseline,8,1
8,Social media platforms should be regulated by the government,1,all_baseline,9,5
8,Social media platforms should be regulated by the government,1,all_baseline,10,4
8,Social media platforms should be regulated by the government,1,all_baseline,11,2
8,Social media platforms should be regulated by the government,1,all_baseline,12,3
8,Social media platforms should be regulated by the government,1,all_golden,13,6
8,Social media platforms should be regulated by the government,1,all_golden,14,3
8,Social media platforms should be regulated by the government,1,all_golden,15,2
8,Social media platforms should be regulated by the government,1,all_golden,16,4
8,Social media platforms should be regulated by the government,1,all_golden,17,1
8,Social media platforms should be regulated by the government,1,all_golden,18,5
8,Social media platforms should be regulated by the government,1,best_baseline,19,6
8,Social media platforms should be regulated by the government,1,best_baseline,20,2
8,Social media platforms should be regulated by the government,1,best_baseline,21,1
8,Social media platforms should be regulated by the government,1,best_baseline,22,4
8,Social media platforms should be regulated by the government,1,best_baseline,23,3
8,Social media platforms should be regulated by the government,1,best_baseline,24,5
8,Social media platforms should be regulated by the government,1,top2_baseline,25,6
8,Social media platforms should be regulated by the government,1,top2_baseline,26,2
8,Social media platforms should be regulated by the government,1,top2_baseline,27,4
8,Social media platforms should be regulated by the government,1,top2_baseline,28,5
8,Social media platforms should be regulated by the government,1,top2_baseline,29,1
8,Social media platforms should be regulated by the government,1,top2_baseline,30,3
8,Social media platforms should be regulated by the government,1,top2_golden,31,6
8,Social media platforms should be regulated by the government,1,top2_golden,32,3
8,Social media platforms should be regulated by the government,1,top2_golden,33,2
8,Social media platforms should be regulated by the government,1,top2_golden,34,4
8,Social media platforms should be regulated by the government,1,top2_golden,35,1
8,Social media platforms should be regulated by the government,1,top2_golden,36,5
9,The USA is a good country to live in,-1,best_golden,1,6
9,The USA is a good country to live in,-1,best_golden,2,1
9,The USA is a good country to live in,-1,best_golden,3,2
9,The USA is a good country to live in,-1,best_golden,4,5
9,The USA is a good country to live in,-1,best_golden,5,4
9,The USA is a good country to live in,-1,best_golden,6,3
9,The USA is a good country to live in,-1,all_baseline,7,6
9,The USA is a good country to live in,-1,all_baseline,8,1
9,The USA is a good country to live in,-1,all_baseline,9,3
9,The USA is a good country to live in,-1,all_baseline,10,4
9,The USA is a good country to live in,-1,all_baseline,11,2
9,The USA is a good country to live in,-1,all_baseline,12,5
9,The USA is a good country to live in,-1,all_golden,13,6
9,The USA is a good country to live in,-1,all_golden,14,2
9,The USA is a good country to live in,-1,all_golden,15,4
9,The USA is a good country to live in,-1,all_golden,16,1
9,The USA is a good country to live in,-1,all_golden,17,3
9,The USA is a good country to live in,-1,all_golden,18,5
9,The USA is a good country to live in,-1,best_baseline,19,6
9,The USA is a good country to live in,-1,best_baseline,20,3
9,The USA is a good country to live in,-1,best_baseline,21,1
9,The USA is a good country to live in,-1,best_baseline,22,5
9,The USA is a good country to live in,-1,best_baseline,23,4
9,The USA is a good country to live in,-1,best_baseline,24,2
9,The USA is a good country to live in,-1,top2_baseline,25,6
9,The USA is a good country to live in,-1,top2_baseline,26,1
9,The USA is a good country to live in,-1,top2_baseline,27,2
9,The USA is a good country to live in,-1,top2_baseline,28,5
9,The USA is a good country to live in,-1,top2_baseline,29,3
9,The USA is a good country to live in,-1,top2_baseline,30,4
9,The USA is a good country to live in,-1,top2_golden,31,6
9,The USA is a good country to live in,-1,top2_golden,32,1
9,The USA is a good country to live in,-1,top2_golden,33,2
9,The USA is a good country to live in,-1,top2_golden,34,5
9,The USA is a good country to live in,-1,top2_golden,35,3
9,The USA is a good country to live in,-1,top2_golden,36,4
10,The USA is a good country to live in,1,best_golden,1,6
10,The USA is a good country to live in,1,best_golden,2,2
10,The USA is a good country to live in,1,best_golden,3,3
10,The USA is a good country to live in,1,best_golden,4,4
10,The USA is a good country to live in,1,best_golden,5,5
10,The USA is a good country to live in,1,best_golden,6,1
10,The USA is a good country to live in,1,all_baseline,7,6
10,The USA is a good country to live in,1,all_baseline,8,2
10,The USA is a good country to live in,1,all_baseline,9,5
10,The USA is a good country to live in,1,all_baseline,10,1
10,The USA is a good country to live in,1,all_baseline,11,3
10,The USA is a good country to live in,1,all_baseline,12,4
10,The USA is a good country to live in,1,all_golden,13,6
10,The USA is a good country to live in,1,all_golden,14,1
10,The USA is a good country to live in,1,all_golden,15,2
10,The USA is a good country to live in,1,all_golden,16,5
10,The USA is a good country to live in,1,all_golden,17,4
10,The USA is a good country to live in,1,all_golden,18,3
10,The USA is a good country to live in,1,best_baseline,19,6
10,The USA is a good country to live in,1,best_baseline,20,2
10,The USA is a good country to live in,1,best_baseline,21,1
10,The USA is a good country to live in,1,best_baseline,22,5
10,The USA is a good country to live in,1,best_baseline,23,3
10,The USA is a good country to live in,1,best_baseline,24,4
10,The USA is a good country to live in,1,top2_baseline,25,6
10,The USA is a good country to live in,1,top2_baseline,26,2
10,The USA is a good country to live in,1,top2_baseline,27,3
10,The USA is a good country to live in,1,top2_baseline,28,5
10,The USA is a good country to live in,1,top2_baseline,29,1
10,The USA is a good country to live in,1,top2_baseline,30,4
10,The USA is a good country to live in,1,top2_golden,31,6
10,The USA is a good country to live in,1,top2_golden,32,5
10,The USA is a good country to live in,1,top2_golden,33,2
10,The USA is a good country to live in,1,top2_golden,34,3
10,The USA is a good country to live in,1,top2_golden,35,1
10,The USA is a good country to live in,1,top2_golden,36,4
11,The vow of celibacy should be abandoned,-1,best_golden,1,6
11,The vow of celibacy should be abandoned,-1,best_golden,2,3
11,The vow of celibacy should be abandoned,-1,best_golden,3,2
11,The vow of celibacy should be abandoned,-1,best_golden,4,4
11,The vow of celibacy should be abandoned,-1,best_golden,5,5
11,The vow of celibacy should be abandoned,-1,best_golden,6,1
11,The vow of celibacy should be abandoned,-1,all_baseline,7,6
11,The vow of celibacy should be abandoned,-1,all_baseline,8,2
11,The vow of celibacy should be abandoned,-1,all_baseline,9,5
11,The vow of celibacy should be abandoned,-1,all_baseline,10,1
11,The vow of celibacy should be abandoned,-1,all_baseline,11,3
11,The vow of celibacy should be abandoned,-1,all_baseline,12,4
11,The vow of celibacy should be abandoned,-1,all_golden,13,6
11,The vow of celibacy should be abandoned,-1,all_golden,14,1
11,The vow of celibacy should be abandoned,-1,all_golden,15,2
11,The vow of celibacy should be abandoned,-1,all_golden,16,4
11,The vow of celibacy should be abandoned,-1,all_golden,17,3
11,The vow of celibacy should be abandoned,-1,all_golden,18,5
11,The vow of celibacy should be abandoned,-1,best_baseline,19,6
11,The vow of celibacy should be abandoned,-1,best_baseline,20,1
11,The vow of celibacy should be abandoned,-1,best_baseline,21,2
11,The vow of celibacy should be abandoned,-1,best_baseline,22,5
11,The vow of celibacy should be abandoned,-1,best_baseline,23,3
11,The vow of celibacy should be abandoned,-1,best_baseline,24,4
11,The vow of celibacy should be abandoned,-1,top2_baseline,25,6
11,The vow of celibacy should be abandoned,-1,top2_baseline,26,1
11,The vow of celibacy should be abandoned,-1,top2_baseline,27,2
11,The vow of celibacy should be abandoned,-1,top2_baseline,28,5
11,The vow of celibacy should be abandoned,-1,top2_baseline,29,3
11,The vow of celibacy should be abandoned,-1,top2_baseline,30,4
11,The vow of celibacy should be abandoned,-1,top2_golden,31,6
11,The vow of celibacy should be abandoned,-1,top2_golden,32,5
11,The vow of celibacy should be abandoned,-1,top2_golden,33,1
11,The vow of celibacy should be abandoned,-1,top2_golden,34,4
11,The vow of celibacy should be abandoned,-1,top2_golden,35,3
11,The vow of celibacy should be abandoned,-1,top2_golden,36,2
12,The vow of celibacy should be abandoned,1,best_golden,1,6
12,The vow of celibacy should be abandoned,1,best_golden,2,2
12,The vow of celibacy should be abandoned,1,best_golden,3,3
12,The vow of celibacy should be abandoned,1,best_golden,4,5
12,The vow of celibacy should be abandoned,1,best_golden,5,4
12,The vow of celibacy should be abandoned,1,best_golden,6,1
12,The vow of celibacy should be abandoned,1,all_baseline,7,6
12,The vow of celibacy should be abandoned,1,all_baseline,8,3
12,The vow of celibacy should be abandoned,1,all_baseline,9,4
12,The vow of celibacy should be abandoned,1,all_baseline,10,1
12,The vow of celibacy should be abandoned,1,all_baseline,11,2
12,The vow of celibacy should be abandoned,1,all_baseline,12,5
12,The vow of celibacy should be abandoned,1,all_golden,13,6
12,The vow of celibacy should be abandoned,1,all_golden,14,1
12,The vow of celibacy should be abandoned,1,all_golden,15,5
12,The vow of celibacy should be abandoned,1,all_golden,16,4
12,The vow of celibacy should be abandoned,1,all_golden,17,2
12,The vow of celibacy should be abandoned,1,all_golden,18,3
12,The vow of celibacy should be abandoned,1,best_baseline,19,6
12,The vow of celibacy should be abandoned,1,best_baseline,20,1
12,The vow of celibacy should be abandoned,1,best_baseline,21,2
12,The vow of celibacy should be abandoned,1,best_baseline,22,3
12,The vow of celibacy should be abandoned,1,best_baseline,23,4
12,The vow of celibacy should be abandoned,1,best_baseline,24,5
12,The vow of celibacy should be abandoned,1,top2_baseline,25,6
12,The vow of celibacy should be abandoned,1,top2_baseline,26,2
12,The vow of celibacy should be abandoned,1,top2_baseline,27,3
12,The vow of celibacy should be abandoned,1,top2_baseline,28,5
12,The vow of celibacy should be abandoned,1,top2_baseline,29,1
12,The vow of celibacy should be abandoned,1,top2_baseline,30,4
12,The vow of celibacy should be abandoned,1,top2_golden,31,6
12,The vow of celibacy should be abandoned,1,top2_golden,32,2
12,The vow of celibacy should be abandoned,1,top2_golden,33,3
12,The vow of celibacy should be abandoned,1,top2_golden,34,5
12,The vow of celibacy should be abandoned,1,top2_golden,35,1
12,The vow of celibacy should be abandoned,1,top2_golden,36,4
13,We should abandon marriage,-1,best_golden,1,6
13,We should abandon marriage,-1,best_golden,2,2
13,We should abandon marriage,-1,best_golden,3,1
13,We should abandon marriage,-1,best_golden,4,5
13,We should abandon marriage,-1,best_golden,5,4
13,We should abandon marriage,-1,best_golden,6,3
13,We should abandon marriage,-1,all_baseline,7,6
13,We should abandon marriage,-1,all_baseline,8,3
13,We should abandon marriage,-1,all_baseline,9,4
13,We should abandon marriage,-1,all_baseline,10,1
13,We should abandon marriage,-1,all_baseline,11,2
13,We should abandon marriage,-1,all_baseline,12,5
13,We should abandon marriage,-1,all_golden,13,6
13,We should abandon marriage,-1,all_golden,14,3
13,We should abandon marriage,-1,all_golden,15,4
13,We should abandon marriage,-1,all_golden,16,5
13,We should abandon marriage,-1,all_golden,17,2
13,We should abandon marriage,-1,all_golden,18,1
13,We should abandon marriage,-1,best_baseline,19,6
13,We should abandon marriage,-1,best_baseline,20,1
13,We should abandon marriage,-1,best_baseline,21,2
13,We should abandon marriage,-1,best_baseline,22,4
13,We should abandon marriage,-1,best_baseline,23,3
13,We should abandon marriage,-1,best_baseline,24,5
13,We should abandon marriage,-1,top2_baseline,25,6
13,We should abandon marriage,-1,top2_baseline,26,1
13,We should abandon marriage,-1,top2_baseline,27,2
13,We should abandon marriage,-1,top2_baseline,28,5
13,We should abandon marriage,-1,top2_baseline,29,3
13,We should abandon marriage,-1,top2_baseline,30,4
13,We should abandon marriage,-1,top2_golden,31,6
13,We should abandon marriage,-1,top2_golden,32,3
13,We should abandon marriage,-1,top2_golden,33,2
13,We should abandon marriage,-1,top2_golden,34,4
13,We should abandon marriage,-1,top2_golden,35,1
13,We should abandon marriage,-1,top2_golden,36,5
14,We should abandon marriage,1,best_golden,1,6
14,We should abandon marriage,1,best_golden,2,1
14,We should abandon marriage,1,best_golden,3,5
14,We should abandon marriage,1,best_golden,4,4
14,We should abandon marriage,1,best_golden,5,3
14,We should abandon marriage,1,best_golden,6,2
14,We should abandon marriage,1,all_baseline,7,6
14,We should abandon marriage,1,all_baseline,8,1
14,We should abandon marriage,1,all_baseline,9,4
14,We should abandon marriage,1,all_baseline,10,3
14,We should abandon marriage,1,all_baseline,11,2
14,We should abandon marriage,1,all_baseline,12,5
14,We should abandon marriage,1,all_golden,13,6
14,We should abandon marriage,1,all_golden,14,2
14,We should abandon marriage,1,all_golden,15,3
14,We should abandon marriage,1,all_golden,16,5
14,We should abandon marriage,1,all_golden,17,1
14,We should abandon marriage,1,all_golden,18,4
14,We should abandon marriage,1,best_baseline,19,6
14,We should abandon marriage,1,best_baseline,20,2
14,We should abandon marriage,1,best_baseline,21,3
14,We should abandon marriage,1,best_baseline,22,4
14,We should abandon marriage,1,best_baseline,23,5
14,We should abandon marriage,1,best_baseline,24,1
14,We should abandon marriage,1,top2_baseline,25,6
14,We should abandon marriage,1,top2_baseline,26,2
14,We should abandon marriage,1,top2_baseline,27,1
14,We should abandon marriage,1,top2_baseline,28,5
14,We should abandon marriage,1,top2_baseline,29,3
14,We should abandon marriage,1,top2_baseline,30,4
14,We should abandon marriage,1,top2_golden,31,6
14,We should abandon marriage,1,top2_golden,32,4
14,We should abandon marriage,1,top2_golden,33,3
14,We should abandon marriage,1,top2_golden,34,5
14,We should abandon marriage,1,top2_golden,35,2
14,We should abandon marriage,1,top2_golden,36,1
15,We should abandon the use of school uniform,-1,best_golden,1,5
