Topic,Argument,Evidence_1,Evidence_2,Label
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"Dignity in Dying also outline how they go about their campaign: They encourage their supporters to campaign for a change to the current laws so that a terminally ill, mentally competent adult who feels their suffering has become unbearable can opt for an assisted death, subject to strict rules and safeguards.  They will lobby politicians and other decision makers, and look to educate legal and healthcare professionals and the public in general to support this drive towards obtaining a comprehensive national end-of-life strategy and working procedures.","The campaign group Dignity in Dying, of which Baroness Meacher is chair, has argued that current law contains no safeguards to protect dying people who want to control their death. It states that around 350 Britons have now travelled to Switzerland to end their life, at a cost of around £10,000 each. Dignity in Dying argues that many of these people travel before they are ready to die, because they are afraid of becoming too weak to make the journey. In theory, those that accompany them could face up to 14 years imprisonment. ",1.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"Dignity in Dying also outline how they go about their campaign: They encourage their supporters to campaign for a change to the current laws so that a terminally ill, mentally competent adult who feels their suffering has become unbearable can opt for an assisted death, subject to strict rules and safeguards.  They will lobby politicians and other decision makers, and look to educate legal and healthcare professionals and the public in general to support this drive towards obtaining a comprehensive national end-of-life strategy and working procedures.","Writing in 2005 about another bill on the topic introduced by Lord Joffe, the House of Lords Assisted Dying for the Terminally Ill Bill Committee summarised the debate in this way: The [Joffe] bill is founded on the principle of personal autonomy. Its supporters believe that terminally ill people should have the right, subject to prescribed safeguards, to have medical assistance to die in the same way that patients, whether or not terminally ill, already have the right to refuse life-prolonging treatment.",1.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"Dignity in Dying supporters argue that the recent trends towards the use of the Dignitas clinic in Switzerland and press stories regarding botched suicides and do-it-yourself advice would be stopped because individuals would know that when and if they wished to finally request an assisted death in the UK, it would be available as arranged.","A qualitative study using narrative interviews was conducted throughout the UK. Results shows that UK law should be changed to allow assisted suicide or voluntary euthanasia was felt strongly by most people. Those who had seen others die were particularly convinced that this should be a right. Some had multiple reasons, including pain and anticipated pain, fear of indignity, loss of control and cognitive impairment. Those who did not want to be a burden also had other reasons for wanting euthanasia. Suicide was contemplated by a few, who would have preferred a change in the law to allow them to end their lives with medical help and in the company of family or friends. ",0.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"Dignity in Dying supporters argue that the recent trends towards the use of the Dignitas clinic in Switzerland and press stories regarding botched suicides and do-it-yourself advice would be stopped because individuals would know that when and if they wished to finally request an assisted death in the UK, it would be available as arranged.","The campaign group Dignity in Dying, of which Baroness Meacher is chair, has argued that current law contains no safeguards to protect dying people who want to control their death. It states that around 350 Britons have now travelled to Switzerland to end their life, at a cost of around £10,000 each. Dignity in Dying argues that many of these people travel before they are ready to die, because they are afraid of becoming too weak to make the journey. In theory, those that accompany them could face up to 14 years imprisonment. ",0.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"In 1992, Kevorkian himself wrote that it is always necessary to consult a psychiatrist when performing assisted suicides because a person's 'mental state is .. of paramount importance.'","A qualitative study using narrative interviews was conducted throughout the UK. Results shows that UK law should be changed to allow assisted suicide or voluntary euthanasia was felt strongly by most people. Those who had seen others die were particularly convinced that this should be a right. Some had multiple reasons, including pain and anticipated pain, fear of indignity, loss of control and cognitive impairment. Those who did not want to be a burden also had other reasons for wanting euthanasia. Suicide was contemplated by a few, who would have preferred a change in the law to allow them to end their lives with medical help and in the company of family or friends. ",1.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"In 1992, Kevorkian himself wrote that it is always necessary to consult a psychiatrist when performing assisted suicides because a person's 'mental state is .. of paramount importance.'","Dignity in Dying supporters argue that the recent trends towards the use of the Dignitas clinic in Switzerland and press stories regarding botched suicides and do-it-yourself advice would be stopped because individuals would know that when and if they wished to finally request an assisted death in the UK, it would be available as arranged.",1.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"In 1992, Kevorkian himself wrote that it is always necessary to consult a psychiatrist when performing assisted suicides because a person's 'mental state is .. of paramount importance.'","Writing in 2005 about another bill on the topic introduced by Lord Joffe, the House of Lords Assisted Dying for the Terminally Ill Bill Committee summarised the debate in this way: The [Joffe] bill is founded on the principle of personal autonomy. Its supporters believe that terminally ill people should have the right, subject to prescribed safeguards, to have medical assistance to die in the same way that patients, whether or not terminally ill, already have the right to refuse life-prolonging treatment.",0.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"That assisted suicide might secure human dignity is a very popular idea. One of the most prominent organizations for assisted suicide in Europe is called “Dignitas”; American laws regulating assisted suicide are called “Death with Dignity Acts” (e.g., the “Washington Death with Dignity Act”); and numerous academic defenders of assisted suicide use the phrase “death with dignity” as a title or starting point for their argumentation. Apparently, the concept of dignity suits the intuitions very well that motivate people to fight for the legalization of physician-assisted death.","A qualitative study using narrative interviews was conducted throughout the UK. Results shows that UK law should be changed to allow assisted suicide or voluntary euthanasia was felt strongly by most people. Those who had seen others die were particularly convinced that this should be a right. Some had multiple reasons, including pain and anticipated pain, fear of indignity, loss of control and cognitive impairment. Those who did not want to be a burden also had other reasons for wanting euthanasia. Suicide was contemplated by a few, who would have preferred a change in the law to allow them to end their lives with medical help and in the company of family or friends. ",1.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"That assisted suicide might secure human dignity is a very popular idea. One of the most prominent organizations for assisted suicide in Europe is called “Dignitas”; American laws regulating assisted suicide are called “Death with Dignity Acts” (e.g., the “Washington Death with Dignity Act”); and numerous academic defenders of assisted suicide use the phrase “death with dignity” as a title or starting point for their argumentation. Apparently, the concept of dignity suits the intuitions very well that motivate people to fight for the legalization of physician-assisted death.","Dignity in Dying also outline how they go about their campaign: .   They encourage their supporters to campaign for a change to the current laws so that a terminally ill, mentally competent adult who feels their suffering has become unbearable can opt for an assisted death, subject to strict rules and safeguards.  They will lobby politicians and other decision makers, and look to educate legal and healthcare professionals and the public in general to support this drive towards obtaining a comprehensive national end-of-life strategy and working procedures.",1.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"That assisted suicide might secure human dignity is a very popular idea. One of the most prominent organizations for assisted suicide in Europe is called “Dignitas”; American laws regulating assisted suicide are called “Death with Dignity Acts” (e.g., the “Washington Death with Dignity Act”); and numerous academic defenders of assisted suicide use the phrase “death with dignity” as a title or starting point for their argumentation. Apparently, the concept of dignity suits the intuitions very well that motivate people to fight for the legalization of physician-assisted death.","Dignity in Dying also outline how they go about their campaign: They encourage their supporters to campaign for a change to the current laws so that a terminally ill, mentally competent adult who feels their suffering has become unbearable can opt for an assisted death, subject to strict rules and safeguards.  They will lobby politicians and other decision makers, and look to educate legal and healthcare professionals and the public in general to support this drive towards obtaining a comprehensive national end-of-life strategy and working procedures.",1.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"That assisted suicide might secure human dignity is a very popular idea. One of the most prominent organizations for assisted suicide in Europe is called “Dignitas”; American laws regulating assisted suicide are called “Death with Dignity Acts” (e.g., the “Washington Death with Dignity Act”); and numerous academic defenders of assisted suicide use the phrase “death with dignity” as a title or starting point for their argumentation. Apparently, the concept of dignity suits the intuitions very well that motivate people to fight for the legalization of physician-assisted death.","In 1992, Kevorkian himself wrote that it is always necessary to consult a psychiatrist when performing assisted suicides because a person's 'mental state is .. of paramount importance.'",1.0
Assisted suicide should be a criminal offence,Assisted suicide gives dignity to the person that wants to commit it,"That assisted suicide might secure human dignity is a very popular idea. One of the most prominent organizations for assisted suicide in Europe is called “Dignitas”; American laws regulating assisted suicide are called “Death with Dignity Acts” (e.g., the “Washington Death with Dignity Act”); and numerous academic defenders of assisted suicide use the phrase “death with dignity” as a title or starting point for their argumentation. Apparently, the concept of dignity suits the intuitions very well that motivate people to fight for the legalization of physician-assisted death.","Writing in 2005 about another bill on the topic introduced by Lord Joffe, the House of Lords Assisted Dying for the Terminally Ill Bill Committee summarised the debate in this way: The [Joffe] bill is founded on the principle of personal autonomy. Its supporters believe that terminally ill people should have the right, subject to prescribed safeguards, to have medical assistance to die in the same way that patients, whether or not terminally ill, already have the right to refuse life-prolonging treatment.",1.0
Assisted suicide should be a criminal offence,Assisted suicide reduces suffering,"In early 2014, a New Mexico Second District Judge Nan Nash ruled that terminally ill patients have the right to aid in dying under the state constitution, i.e. making it legal for a doctor to prescribe a lethal dose of medication to a terminally ill patient.","Indeed, studies from parts of the world that have legalised assisted suicide report that many plans put in place for an early death are not taken up as people end up dying naturally, with the peace of mind brought about by knowing that an assisted death was available if pain and suffering had got too much.",0.0
Assisted suicide should be a criminal offence,Assisted suicide reduces suffering,"In early 2014, a New Mexico Second District Judge Nan Nash ruled that terminally ill patients have the right to aid in dying under the state constitution, i.e. making it legal for a doctor to prescribe a lethal dose of medication to a terminally ill patient.","It states that euthanasia and physician-assisted suicide are not punishable if the attending physician acts in accordance with criteria of due care. These criteria concern the patient's request, the patient's suffering (unbearable and hopeless), the information provided to the patient, the absence of reasonable alternatives, consultation of another physician and the applied method of ending life.",0.0
Assisted suicide should be a criminal offence,Assisted suicide reduces suffering,"The ethical arguments for physician-assisted suicide and euthanasia, advocates of euthanasia have maintained, do not apply to euthanasia only when it is voluntary; they can also be used to justify some kinds of nonvoluntary euthanasia of the incompetent.","In early 2014, a New Mexico Second District Judge Nan Nash ruled that terminally ill patients have the right to aid in dying under the state constitution, i.e. making it legal for a doctor to prescribe a lethal dose of medication to a terminally ill patient.",1.0
Assisted suicide should be a criminal offence,Assisted suicide reduces suffering,"The ethical arguments for physician-assisted suicide and euthanasia, advocates of euthanasia have maintained, do not apply to euthanasia only when it is voluntary; they can also be used to justify some kinds of nonvoluntary euthanasia of the incompetent.","It states that euthanasia and physician-assisted suicide are not punishable if the attending physician acts in accordance with criteria of due care. These criteria concern the patient's request, the patient's suffering (unbearable and hopeless), the information provided to the patient, the absence of reasonable alternatives, consultation of another physician and the applied method of ending life.",0.0
Assisted suicide should be a criminal offence,Assisted suicide reduces suffering,"The ethical arguments for physician-assisted suicide and euthanasia, advocates of euthanasia have maintained, do not apply to euthanasia only when it is voluntary; they can also be used to justify some kinds of nonvoluntary euthanasia of the incompetent.","Stevens also rejected the argument, raised by the petitioners, that permitting physician-assisted suicide would taint the perception of the doctor/patient relationship. In some cases, he argued, a doctor's refusal to hasten death could be perceived as an act contrary to the doctor's role of healer.",0.0
Assisted suicide should be a criminal offence,Assisted suicide should not be allowed because many times people can still get better,"Dignity in Dying support the legislation of assisted dying (as legal in Oregon under the Oregon Death with Dignity Act), whereby a doctor prescribes a life-ending dose of medication to a mentally competent, terminally ill adult at the patient's request, and which the patient administers. This is different to assisted suicide, whereby somebody provides assistance to die to a person who is not terminally ill, and euthanasia, which involves a third party administering the life-ending medication to a patient.",A survey published by the British Medical Journal in 2011 found that the majority of patients who are almost completely paralysed but fully conscious have said they are happy and do not want to die. The survey questioned 168 members of the French Association for Locked-in Syndrome.,1.0
Assisted suicide should be a criminal offence,Assisted suicide should not be allowed because many times people can still get better,"Dignity in Dying support the legislation of assisted dying (as legal in Oregon under the Oregon Death with Dignity Act), whereby a doctor prescribes a life-ending dose of medication to a mentally competent, terminally ill adult at the patient's request, and which the patient administers. This is different to assisted suicide, whereby somebody provides assistance to die to a person who is not terminally ill, and euthanasia, which involves a third party administering the life-ending medication to a patient.","In a study of terminally ill patients, for instance, Rosenfeld and his colleagues found that desire for death was associated with depression, and that desire decreased in patients who responded to antidepressants ( Psychosomatics , Vol. 51, No. 2, 2010).",0.0
Assisted suicide should be a criminal offence,Assisted suicide should not be allowed because many times people can still get better,"Dignity in Dying support the legislation of assisted dying (as legal in Oregon under the Oregon Death with Dignity Act), whereby a doctor prescribes a life-ending dose of medication to a mentally competent, terminally ill adult at the patient's request, and which the patient administers. This is different to assisted suicide, whereby somebody provides assistance to die to a person who is not terminally ill, and euthanasia, which involves a third party administering the life-ending medication to a patient.","The key argument made by many of those opposed to a change in the law is that ill and disabled people may feel under pressure to end their lives, perhaps because of the cost of the medical treatment needed to keep them alive, or because they do not want to be a burden on friends and family.",0.0
Assisted suicide should be a criminal offence,Assisted suicide should not be allowed because many times people can still get better,"Physician-assisted suicide and euthanasia should not be performed simply because a patient is depressed, tired of life, worried about being a burden, or worried about being dependent. All these may be signs that not every effort has yet been made.",A survey published by the British Medical Journal in 2011 found that the majority of patients who are almost completely paralysed but fully conscious have said they are happy and do not want to die. The survey questioned 168 members of the French Association for Locked-in Syndrome.,1.0
Assisted suicide should be a criminal offence,Assisted suicide should not be allowed because many times people can still get better,"Physician-assisted suicide and euthanasia should not be performed simply because a patient is depressed, tired of life, worried about being a burden, or worried about being dependent. All these may be signs that not every effort has yet been made.","Dignity in Dying support the legislation of assisted dying (as legal in Oregon under the Oregon Death with Dignity Act), whereby a doctor prescribes a life-ending dose of medication to a mentally competent, terminally ill adult at the patient's request, and which the patient administers. This is different to assisted suicide, whereby somebody provides assistance to die to a person who is not terminally ill, and euthanasia, which involves a third party administering the life-ending medication to a patient.",0.0
Assisted suicide should be a criminal offence,Assisted suicide should not be allowed because many times people can still get better,"Physician-assisted suicide and euthanasia should not be performed simply because a patient is depressed, tired of life, worried about being a burden, or worried about being dependent. All these may be signs that not every effort has yet been made.","In a study of terminally ill patients, for instance, Rosenfeld and his colleagues found that desire for death was associated with depression, and that desire decreased in patients who responded to antidepressants ( Psychosomatics , Vol. 51, No. 2, 2010).",1.0
Assisted suicide should be a criminal offence,Assisted suicide should not be allowed because many times people can still get better,"The key argument made by many of those opposed to a change in the law is that ill and disabled people may feel under pressure to end their lives, perhaps because of the cost of the medical treatment needed to keep them alive, or because they do not want to be a burden on friends and family.",A survey published by the British Medical Journal in 2011 found that the majority of patients who are almost completely paralysed but fully conscious have said they are happy and do not want to die. The survey questioned 168 members of the French Association for Locked-in Syndrome.,0.0
Assisted suicide should be a criminal offence,Assisted suicide should not be allowed because many times people can still get better,"The key argument made by many of those opposed to a change in the law is that ill and disabled people may feel under pressure to end their lives, perhaps because of the cost of the medical treatment needed to keep them alive, or because they do not want to be a burden on friends and family.","In a study of terminally ill patients, for instance, Rosenfeld and his colleagues found that desire for death was associated with depression, and that desire decreased in patients who responded to antidepressants ( Psychosomatics , Vol. 51, No. 2, 2010).",0.0
Assisted suicide should be a criminal offence,Assisted suicide violates the doctor's role,"Dr. Lynda Young, MD, stated her opposition when she said, 'Physician-assisted suicide is fundamentally incompatible with the physician's role as healer.'",A study in 2000 found that Dutch physicians who intend to provide assistance with suicide sometimes end up administering a lethal medication themselves because of the patient's inability to take the medication or because of problems with the completion of physician-assisted suicide.,0.0
Assisted suicide should be a criminal offence,Assisted suicide violates the doctor's role,"For example, in the U.S. state of Oregon in 2007, it was reported that of the 30,000 deaths in the state that year, 10,000 people considered an assisted death, around 1,000 spoke to their doctor about it, 85 actually got a prescription and just 49 went on to have an assisted death.",A study in 2000 found that Dutch physicians who intend to provide assistance with suicide sometimes end up administering a lethal medication themselves because of the patient's inability to take the medication or because of problems with the completion of physician-assisted suicide.,0.0
Assisted suicide should be a criminal offence,Assisted suicide violates the doctor's role,"For example, in the U.S. state of Oregon in 2007, it was reported that of the 30,000 deaths in the state that year, 10,000 people considered an assisted death, around 1,000 spoke to their doctor about it, 85 actually got a prescription and just 49 went on to have an assisted death.","Dr. Lynda Young, MD, stated her opposition when she said, 'Physician-assisted suicide is fundamentally incompatible with the physician's role as healer.'",0.0
Assisted suicide should be a criminal offence,Assisted suicide violates the doctor's role,"For example, in the U.S. state of Oregon in 2007, it was reported that of the 30,000 deaths in the state that year, 10,000 people considered an assisted death, around 1,000 spoke to their doctor about it, 85 actually got a prescription and just 49 went on to have an assisted death.","The organization held that the danger of making doctors the agents of a patient's death far outweighed any advantages to assisted suicide, or safeguards in the initiative's text.",0.0
Assisted suicide should be a criminal offence,Assisted suicide violates the doctor's role,"Instead of participating in assisted suicide, physicians must aggressively respond to the needs of patients at the end of life .. in order that these patients continue to receive emotional support, comfort care, adequate pain control, respect for patient autonomy and good communication.",Physicians who are in favor of euthanasia state that to keep euthanasia or physician-assisted suicide (PAS) illegal is a violation of patient freedoms.,0.0
Assisted suicide should be a criminal offence,Assisted suicide violates the doctor's role,"The State of New York had enacted a prohibition against physician-assisted suicide, making it a crime for a physician to administer lethal medication or to otherwise knowingly and intentionally end the life of a patient, even a consenting, mentally competent, and terminally ill patient.",A study in 2000 found that Dutch physicians who intend to provide assistance with suicide sometimes end up administering a lethal medication themselves because of the patient's inability to take the medication or because of problems with the completion of physician-assisted suicide.,1.0
Assisted suicide should be a criminal offence,Assisted suicide violates the doctor's role,"The State of New York had enacted a prohibition against physician-assisted suicide, making it a crime for a physician to administer lethal medication or to otherwise knowingly and intentionally end the life of a patient, even a consenting, mentally competent, and terminally ill patient.","Dr. Lynda Young, MD, stated her opposition when she said, 'Physician-assisted suicide is fundamentally incompatible with the physician's role as healer.'",1.0
Assisted suicide should be a criminal offence,Assisted suicide violates the doctor's role,"The State of New York had enacted a prohibition against physician-assisted suicide, making it a crime for a physician to administer lethal medication or to otherwise knowingly and intentionally end the life of a patient, even a consenting, mentally competent, and terminally ill patient.",Physicians who are in favor of euthanasia state that to keep euthanasia or physician-assisted suicide (PAS) illegal is a violation of patient freedoms.,1.0
Assisted suicide should be a criminal offence,Assisted suicide violates the doctor's role,"The State of New York had enacted a prohibition against physician-assisted suicide, making it a crime for a physician to administer lethal medication or to otherwise knowingly and intentionally end the life of a patient, even a consenting, mentally competent, and terminally ill patient.","The report also stated that Kevorkian failed to refer at least 17 patients to a pain specialist after they complained of chronic pain, and sometimes failed to obtain a complete medical record for his patients, with at least three autopsies of suicides Kevorkian had assisted with showing the person who committed suicide to have no physical sign of disease.",1.0
Assisted suicide should be a criminal offence,Assisted suicide violates the doctor's role,"The organization held that the danger of making doctors the agents of a patient's death far outweighed any advantages to assisted suicide, or safeguards in the initiative's text.","Instead of participating in assisted suicide, physicians must aggressively respond to the needs of patients at the end of life .. in order that these patients continue to receive emotional support, comfort care, adequate pain control, respect for patient autonomy and good communication.",1.0
Assisted suicide should be a criminal offence,Assisted suicide violates the doctor's role,"The organization held that the danger of making doctors the agents of a patient's death far outweighed any advantages to assisted suicide, or safeguards in the initiative's text.",Physicians who are in favor of euthanasia state that to keep euthanasia or physician-assisted suicide (PAS) illegal is a violation of patient freedoms.,1.0
Assisted suicide should be a criminal offence,Assisted suicide violates the doctor's role,"The organization held that the danger of making doctors the agents of a patient's death far outweighed any advantages to assisted suicide, or safeguards in the initiative's text.","The State of New York had enacted a prohibition against physician-assisted suicide, making it a crime for a physician to administer lethal medication or to otherwise knowingly and intentionally end the life of a patient, even a consenting, mentally competent, and terminally ill patient.",1.0
Assisted suicide should be a criminal offence,People do not have the right to self-harm/harm others,"An opponent of assisted suicide, Vlazny supported the unsuccessful repeal of the Oregon Death with Dignity Act, saying, 'Many have expressed a dread about what will happen when the power over life and death may be put into the hands of a society that is driven by economics, expedience and efficiency, a society that flees from suffering, weakness or limitations of any kind.'",Any person found to be assisting suicide is breaking the law and can be convicted of assisting suicide or attempting to do so.,0.0
